candidate,family,neutralization,frequency,primary_horizon,status,reasons,adjusted_p,adj_ic_t,mean_ic,ic_t,ic_nw_t,pos_ic_rate,gross_spread,gross_t,net25,net50,holdout_net25,pre2020_ic,post2020_ic,avg_turnover,max_year_frac,corr_champ,corr_ok,data_class
rev_1m,SHORT_REVERSAL,raw,monthly,fwd_1m,REJECTED,"LOW_POS_IC_RATE(0.53<0.55);WEAK_SPREAD_T(gross_t=1.75<2.0);SUBPERIOD_SIGN(pre=0.01838,post=-0.02085);HOLDOUT_NET_NOT_POSITIVE(-0.01536);YEAR_CONCENTRATION(0.682>0.4);FAILS_MULTIPLE_TESTING(adj_p=0.9396)",0.93956,2.153,0.01137,2.151,2.153,0.531,0.00578,1.745,0.00156,-0.00267,-0.01536,0.01838,-0.02085,0.8477,0.682,0.1289,True,
rev_1m,SHORT_REVERSAL,sector_neutral,monthly,fwd_1m,REJECTED,"SUBPERIOD_SIGN(pre=0.0236,post=-0.02162);HOLDOUT_NET_NOT_POSITIVE(-0.01071)",0.00686,3.685,0.01552,3.681,3.685,0.587,0.00846,3.207,0.00416,-0.00013,-0.01071,0.0236,-0.02162,0.8611,0.305,0.1155,True,
trend_ma12,TREND,raw,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,1e-05,5.169,0.04522,7.249,5.169,0.69,0.03199,4.498,0.0304,0.02881,0.04748,0.04318,0.05467,0.3186,0.298,0.128,True,
trend_ma12,TREND,sector_neutral,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.0,5.376,0.03799,7.644,5.376,0.693,0.02696,4.446,0.02538,0.0238,0.04509,0.03673,0.04385,0.3173,0.343,0.1293,True,
breakout_12,TREND,raw,monthly,fwd_3m,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,YEAR_CONCENTRATION(0.427>0.4),0.0,5.781,0.06065,8.258,5.781,0.702,0.02466,3.226,0.02275,0.02084,0.03296,0.05975,0.06481,0.3837,0.427,0.1235,True,
breakout_12,TREND,sector_neutral,monthly,fwd_3m,ORTHOGONAL_ALPHA_RESEARCH_ELIGIBLE,YEAR_CONCENTRATION(0.404>0.4),0.0,5.813,0.04598,8.355,5.813,0.719,0.02425,3.815,0.02273,0.02121,0.03489,0.04584,0.04666,0.3043,0.404,0.1464,True,
trend_consistency,TREND,raw,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.0,5.897,0.04435,8.444,5.897,0.678,0.02099,4.255,0.01956,0.01813,0.03328,0.04283,0.05139,0.2868,0.25,0.1044,True,
trend_consistency,TREND,sector_neutral,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.0,6.313,0.03599,9.084,6.313,0.678,0.01892,5.099,0.01747,0.01601,0.02887,0.03504,0.04039,0.2921,0.242,0.1025,True,
lowvol_12m,LOW_VOLATILITY,raw,monthly,fwd_3m,REJECTED,WEAK_SPREAD_T(gross_t=0.64<2.0);YEAR_CONCENTRATION(1.602>0.4),1e-05,5.222,0.0686,7.605,5.222,0.619,0.00552,0.638,0.00479,0.00407,0.00885,0.06974,0.06333,0.1458,1.602,0.1091,True,
lowvol_12m,LOW_VOLATILITY,sector_neutral,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,1e-05,5.044,0.03469,7.387,5.044,0.619,0.02071,3.886,0.01985,0.01899,0.01774,0.04032,0.00852,0.173,0.307,0.1492,True,
downside_vol,LOW_VOLATILITY,raw,monthly,fwd_3m,REJECTED,WEAK_SPREAD_T(gross_t=1.92<2.0);YEAR_CONCENTRATION(0.648>0.4),0.0,5.627,0.07434,8.205,5.627,0.667,0.01709,1.917,0.01624,0.01539,0.0333,0.07393,0.07626,0.1703,0.648,0.0955,True,
downside_vol,LOW_VOLATILITY,sector_neutral,monthly,fwd_3m,REJECTED,WEAK_SPREAD_T(gross_t=1.78<2.0);YEAR_CONCENTRATION(0.729>0.4),0.0,5.445,0.0648,7.913,5.445,0.667,0.01463,1.777,0.01379,0.01295,0.02879,0.06554,0.0614,0.1684,0.729,0.1006,True,
ivol_spy,LOW_VOLATILITY,raw,monthly,fwd_3m,REJECTED,WEAK_SPREAD_T(gross_t=0.78<2.0);HOLDOUT_NET_NOT_POSITIVE(-0.00223);YEAR_CONCENTRATION(1.202>0.4),3e-05,4.885,0.06226,7.08,4.885,0.634,0.00651,0.783,0.00578,0.00505,-0.00223,0.06518,0.05146,0.1461,1.202,0.1143,True,
ivol_spy,LOW_VOLATILITY,sector_neutral,monthly,fwd_3m,STRONG_ALPHA_PAPER_CHALLENGER_ELIGIBLE,PASS,0.00312,3.881,0.02666,5.67,3.881,0.605,0.01349,2.727,0.01278,0.01207,0.00423,0.03056,0.01227,0.1421,0.378,0.1375,True,
beta_neg,LOW_VOLATILITY,raw,monthly,fwd_3m,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_SPREAD(-0.01457);NONPOSITIVE_NET25(-0.01517)),,,0.01646,1.915,1.313,,,-1.846,-0.01517,,,,,,,,,TRANSACTION_COST_KILLED
beta_neg,LOW_VOLATILITY,sector_neutral,monthly,fwd_3m,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_SPREAD(-0.00913);NONPOSITIVE_NET25(-0.00975)),,,0.0074,1.224,0.822,,,-1.493,-0.00975,,,,,,,,,TRANSACTION_COST_KILLED
liquidity,LIQUIDITY,raw,monthly,fwd_3m,REJECTED,WEAK_SPREAD_T(gross_t=1.08<2.0);YEAR_CONCENTRATION(1.023>0.4),0.0,5.711,0.03978,8.063,5.711,0.671,0.00416,1.076,0.00382,0.00348,0.02027,0.03646,0.05517,0.0686,1.023,0.0918,True,
liquidity,LIQUIDITY,sector_neutral,monthly,fwd_3m,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_IC(-0.01239);NONPOSITIVE_SPREAD(-0.00147);NONPOSITIVE_NET25(-0.00221)),,,-0.01239,-2.237,-1.556,,,-0.377,-0.00221,,,,,,,,,NO_EDGE
dvol_accel,LIQUIDITY,raw,monthly,fwd_1m,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_NET25(-0.00058)),,,0.01484,3.928,3.933,,,1.01,-0.00058,,,,,,,,,TRANSACTION_COST_KILLED
dvol_accel,LIQUIDITY,sector_neutral,monthly,fwd_1m,REJECTED,SCREENED_OUT_PASS1(NONPOSITIVE_NET25(-0.0008)),,,0.01472,5.338,5.344,,,1.237,-0.0008,,,,,,,,,TRANSACTION_COST_KILLED
