feature_name,feature_family,input_source,point_in_time_rule,availability_lag_rule,uses_future_data,implemented,blocker,notes
filing_lag_days,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
debt_proxy_total_liabilities_to_assets,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
revenue_yoy_growth,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
eps_diluted_yoy_growth,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
eps_surprise,earnings_surprise,phase3m earnings_features_universe.csv (partial cache),as-of merge: latest earnings event with availability_date <= scoring_date,provider availability_date (point-in-time-usable rows only),False,True,,PARTIAL coverage: only the Phase 3-M cached tickers carry values; no new fetch
eps_surprise_pct,earnings_surprise,phase3m earnings_features_universe.csv (partial cache),as-of merge: latest earnings event with availability_date <= scoring_date,provider availability_date (point-in-time-usable rows only),False,True,,PARTIAL coverage: only the Phase 3-M cached tickers carry values; no new fetch
trailing_4q_avg_surprise_pct,earnings_surprise,phase3m earnings_features_universe.csv (partial cache),as-of merge: latest earnings event with availability_date <= scoring_date,provider availability_date (point-in-time-usable rows only),False,True,,PARTIAL coverage: only the Phase 3-M cached tickers carry values; no new fetch
trailing_4q_positive_surprise_rate,earnings_surprise,phase3m earnings_features_universe.csv (partial cache),as-of merge: latest earnings event with availability_date <= scoring_date,provider availability_date (point-in-time-usable rows only),False,True,,PARTIAL coverage: only the Phase 3-M cached tickers carry values; no new fetch
surprise_acceleration,earnings_surprise,phase3m earnings_features_universe.csv (partial cache),as-of merge: latest earnings event with availability_date <= scoring_date,provider availability_date (point-in-time-usable rows only),False,True,,PARTIAL coverage: only the Phase 3-M cached tickers carry values; no new fetch
days_since_last_earnings,earnings_surprise,phase3m earnings_features_universe.csv (partial cache),as-of merge: latest earnings event with availability_date <= scoring_date,provider availability_date (point-in-time-usable rows only),False,True,,PARTIAL coverage: only the Phase 3-M cached tickers carry values; no new fetch
cpi_yoy,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
cpi_mom,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
inflation_regime,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
10y_yield,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
2y_yield,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
yield_curve_10y_2y,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
real_rate_proxy,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
inflation_shock_flag,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
fed_policy_regime,macro_inflation,external macro provider (NOT available locally),n/a,n/a,False,False,external_macro_data_required,declared for the roadmap; NOT implemented and NOT faked - needs a local macro file
news_sentiment_avg_7d,sentiment,external news/sentiment provider (NOT available locally),n/a,n/a,False,False,external_sentiment_data_required,declared for the roadmap; NOT implemented and NOT faked - needs local sentiment data
news_sentiment_avg_30d,sentiment,external news/sentiment provider (NOT available locally),n/a,n/a,False,False,external_sentiment_data_required,declared for the roadmap; NOT implemented and NOT faked - needs local sentiment data
sentiment_momentum,sentiment,external news/sentiment provider (NOT available locally),n/a,n/a,False,False,external_sentiment_data_required,declared for the roadmap; NOT implemented and NOT faked - needs local sentiment data
negative_news_intensity,sentiment,external news/sentiment provider (NOT available locally),n/a,n/a,False,False,external_sentiment_data_required,declared for the roadmap; NOT implemented and NOT faked - needs local sentiment data
event_count_7d,sentiment,external news/sentiment provider (NOT available locally),n/a,n/a,False,False,external_sentiment_data_required,declared for the roadmap; NOT implemented and NOT faked - needs local sentiment data
analyst_tone_proxy,sentiment,external news/sentiment provider (NOT available locally),n/a,n/a,False,False,external_sentiment_data_required,declared for the roadmap; NOT implemented and NOT faked - needs local sentiment data
ar1_beta_63d,time_series_arima_style,phase2k_g_expanded_price_history_free.csv (D: read-only),"trailing daily-return window up to the scoring date (local AR, no statsmodels)",none,False,True,,"ARIMA is treated as ONE signal family, not the whole model; statsmodels optional"
ar1_residual_zscore_63d,time_series_arima_style,phase2k_g_expanded_price_history_free.csv (D: read-only),"trailing daily-return window up to the scoring date (local AR, no statsmodels)",none,False,True,,"ARIMA is treated as ONE signal family, not the whole model; statsmodels optional"
rolling_mean_reversion_signal_21d,time_series_arima_style,phase2k_g_expanded_price_history_free.csv (D: read-only),"trailing daily-return window up to the scoring date (local AR, no statsmodels)",none,False,True,,"ARIMA is treated as ONE signal family, not the whole model; statsmodels optional"
trend_persistence_63d,time_series_arima_style,phase2k_g_expanded_price_history_free.csv (D: read-only),"trailing daily-return window up to the scoring date (local AR, no statsmodels)",none,False,True,,"ARIMA is treated as ONE signal family, not the whole model; statsmodels optional"
forecast_error_direction_21d,time_series_arima_style,phase2k_g_expanded_price_history_free.csv (D: read-only),"trailing daily-return window up to the scoring date (local AR, no statsmodels)",none,False,True,,"ARIMA is treated as ONE signal family, not the whole model; statsmodels optional"
