field_name,data_family,table_name,required_or_optional,data_type,periodicity,point_in_time_required,availability_timestamp_required,restatement_sensitive,can_be_lagged,example_feature_use,validation_note
consensus_high,analyst_estimates_revisions,analyst_estimates_revisions,optional,decimal,snapshot,yes,yes,no,yes,dispersion,high estimate
consensus_low,analyst_estimates_revisions,analyst_estimates_revisions,optional,decimal,snapshot,yes,yes,no,yes,dispersion,low estimate
analyst_count,analyst_estimates_revisions,analyst_estimates_revisions,optional,int,snapshot,yes,yes,no,yes,coverage / confidence,number of contributing analysts
standard_deviation,analyst_estimates_revisions,analyst_estimates_revisions,optional,decimal,snapshot,yes,yes,no,yes,estimate dispersion,cross-analyst dispersion of estimates
up_revision_count_30d,analyst_estimates_revisions,analyst_estimates_revisions,optional,int,snapshot,yes,yes,no,yes,estimate revision momentum,count of upward revisions in the trailing 30d
down_revision_count_30d,analyst_estimates_revisions,analyst_estimates_revisions,optional,int,snapshot,yes,yes,no,yes,estimate revision momentum,count of downward revisions in the trailing 30d
net_revision_ratio_30d,analyst_estimates_revisions,analyst_estimates_revisions,optional,decimal,snapshot,yes,yes,no,yes,estimate revision momentum,(up - down) / total over the trailing 30d
consensus_change_7d,analyst_estimates_revisions,analyst_estimates_revisions,optional,decimal,snapshot,yes,yes,no,yes,revision momentum,trailing 7d consensus change
consensus_change_30d,analyst_estimates_revisions,analyst_estimates_revisions,optional,decimal,snapshot,yes,yes,no,yes,revision momentum,trailing 30d consensus change
consensus_change_90d,analyst_estimates_revisions,analyst_estimates_revisions,optional,decimal,snapshot,yes,yes,no,yes,revision momentum,trailing 90d consensus change
availability_datetime,analyst_estimates_revisions,analyst_estimates_revisions,required,datetime,snapshot,yes,yes,no,yes,feature_asof gate,each snapshot must be timestamped to when the estimate changed or was known
source,analyst_estimates_revisions,analyst_estimates_revisions,required,string,snapshot,no,no,no,yes,provenance / audit,records the estimates provider
valuation,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,earnings/book/sales/FCF yields,built from fundamentals; trailing as-reported only
quality,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,"margins, ROE/ROA, accruals",ratios of trailing as-reported fundamentals
profitability,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,operating/net margins,trailing as-reported only
growth,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,sales / earnings growth,year-over-year on first-reported values
leverage,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,"debt/equity, net debt, coverage","balance-sheet ratios, as-reported"
accruals,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,cash vs accrual earnings gap,operating cash flow vs net income
capital_returns,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,payout / buyback / shareholder yield,dividends and repurchases over market cap
earnings_surprise,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,standardized unexpected earnings (SUE),uses pre-announcement consensus only
post_earnings_announcement_drift,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,drift after the event window,anchored to announcement timing
estimate_revision_momentum,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,net / directional revisions,uses point-in-time consensus snapshots
estimate_dispersion,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,cross-analyst dispersion,std-dev / high-low of consensus
recommendation_momentum,derived_feature_blocks,derived_features,optional,feature_block,derived,yes,no,no,yes,rating upgrades / downgrades,point-in-time recommendation changes
