path,family,point_in_time_status,date_columns,ticker_columns,joinability,leakage_risk,row_count,recommended_use,blocker
research/output/phase3f_sec_fundamentals_sample/fundamentals_sample.csv,fundamentals,point_in_time_safe,filed;availability_datetime,ticker;cik,ticker_date_joinable,low,368,use_in_phase5e,
research/output/phase3i_fundamental_price_alignment/aligned_feature_price_panel_20ticker_sample.csv,fundamentals,point_in_time_safe,scoring_date;active_feature_asof_date;forward_return_rank_by_date_21d;forward_return_rank_by_date_63d;forward_return_rank_by_date_126d,ticker,ticker_date_joinable,low,32882,use_in_phase5e,
research/output/phase3l_sec_universe_signal_gate/aligned_feature_price_panel_universe.csv,fundamentals,point_in_time_safe,scoring_date;active_feature_asof_date;forward_return_rank_by_date_21d;forward_return_rank_by_date_63d;forward_return_rank_by_date_126d,ticker,ticker_date_joinable,low,303201,use_in_phase5e,
research/output/phase3l_sec_universe_signal_gate/fundamentals_universe.csv,fundamentals,point_in_time_safe,filed;availability_datetime,ticker;cik,ticker_date_joinable,low,46687,use_in_phase5e,
research/output/phase3m_earnings_estimates_signal_gate/combined_fundamental_earnings_panel.csv,earnings,unknown,scoring_date;active_earnings_reported_date;active_earnings_fiscal_date_ending;forward_return_rank_by_date_21d;forward_return_rank_by_date_63d;forward_return_rank_by_date_126d,ticker,ticker_date_joinable,medium,0,future_collection_needed,header-only / no data rows: earnings panel not populated for the universe
research/output/phase3m_earnings_estimates_signal_gate/earnings_events_universe.csv,earnings,point_in_time_safe,fiscal_date_ending;reported_date;reported_eps;availability_date,ticker,ticker_date_joinable,medium,5625,use_in_phase5e,
research/output/phase3m_earnings_estimates_signal_gate/earnings_features_universe.csv,earnings,point_in_time_safe,fiscal_date_ending;reported_date;availability_date,ticker,ticker_date_joinable,medium,5609,use_in_phase5e,
research/output/phase3r_macro_regime_walkforward/macro_data_inventory.csv,macro,potentially_point_in_time,date_min;date_max,,date_only_joinable,medium,9,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/output/phase3r_macro_regime_walkforward/macro_feature_panel_sample.csv,macro,potentially_point_in_time,scoring_date,,date_only_joinable,medium,400,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/output/phase3s_event_signal_readiness_gate/analyst_revision_data_inventory.csv,analyst_revisions,unknown,date_min;date_max,,date_only_joinable,unknown,1,future_collection_needed,inventory stub only: no real timestamped series present (no revision/article date + value)
research/output/phase3s_event_signal_readiness_gate/sentiment_data_inventory.csv,news_sentiment,unknown,date_min;date_max,,date_only_joinable,unknown,1,future_collection_needed,inventory stub only: no real timestamped series present (no revision/article date + value)
research/output/phase3v_global_etf_price_data_pack/global_etf_price_panel.csv,global_etf_cross_asset,unknown,date,ticker,ticker_date_joinable,unknown,0,future_collection_needed,header-only / no data rows: global ETF panel not populated
research/output/phase3w_manual_global_etf_data_import/normalized_global_etf_price_panel.csv,global_etf_cross_asset,unknown,date,ticker,ticker_date_joinable,unknown,0,future_collection_needed,header-only / no data rows: global ETF panel not populated
