ticker,sector,industry,source,as_of_date,point_in_time,notes
FDX,,,manual_required,,false,fill sector/industry before sector-relative retest
GD,,,manual_required,,false,fill sector/industry before sector-relative retest
GE,,,manual_required,,false,fill sector/industry before sector-relative retest
GILD,,,manual_required,,false,fill sector/industry before sector-relative retest
GOOG,,,manual_required,,false,fill sector/industry before sector-relative retest
GOOGL,,,manual_required,,false,fill sector/industry before sector-relative retest
GS,,,manual_required,,false,fill sector/industry before sector-relative retest
HCA,,,manual_required,,false,fill sector/industry before sector-relative retest
HD,,,manual_required,,false,fill sector/industry before sector-relative retest
HON,,,manual_required,,false,fill sector/industry before sector-relative retest
IBM,,,manual_required,,false,fill sector/industry before sector-relative retest
ICE,,,manual_required,,false,fill sector/industry before sector-relative retest
INTC,,,manual_required,,false,fill sector/industry before sector-relative retest
INTU,,,manual_required,,false,fill sector/industry before sector-relative retest
ISRG,,,manual_required,,false,fill sector/industry before sector-relative retest
ITW,,,manual_required,,false,fill sector/industry before sector-relative retest
JNJ,,,manual_required,,false,fill sector/industry before sector-relative retest
JPM,,,manual_required,,false,fill sector/industry before sector-relative retest
KLAC,,,manual_required,,false,fill sector/industry before sector-relative retest
KO,,,manual_required,,false,fill sector/industry before sector-relative retest
LIN,,,manual_required,,false,fill sector/industry before sector-relative retest
LLY,,,manual_required,,false,fill sector/industry before sector-relative retest
LMT,,,manual_required,,false,fill sector/industry before sector-relative retest
LOW,,,manual_required,,false,fill sector/industry before sector-relative retest
MA,,,manual_required,,false,fill sector/industry before sector-relative retest
MAR,,,manual_required,,false,fill sector/industry before sector-relative retest
MCD,,,manual_required,,false,fill sector/industry before sector-relative retest
MCO,,,manual_required,,false,fill sector/industry before sector-relative retest
MDLZ,,,manual_required,,false,fill sector/industry before sector-relative retest
MDT,,,manual_required,,false,fill sector/industry before sector-relative retest
META,,,manual_required,,false,fill sector/industry before sector-relative retest
MO,,,manual_required,,false,fill sector/industry before sector-relative retest
MRK,,,manual_required,,false,fill sector/industry before sector-relative retest
MS,,,manual_required,,false,fill sector/industry before sector-relative retest
MSFT,,,manual_required,,false,fill sector/industry before sector-relative retest
MU,,,manual_required,,false,fill sector/industry before sector-relative retest
NEE,,,manual_required,,false,fill sector/industry before sector-relative retest
NFLX,,,manual_required,,false,fill sector/industry before sector-relative retest
NKE,,,manual_required,,false,fill sector/industry before sector-relative retest
NOC,,,manual_required,,false,fill sector/industry before sector-relative retest
NOW,,,manual_required,,false,fill sector/industry before sector-relative retest
NVDA,,,manual_required,,false,fill sector/industry before sector-relative retest
ORCL,,,manual_required,,false,fill sector/industry before sector-relative retest
ORLY,,,manual_required,,false,fill sector/industry before sector-relative retest
PANW,,,manual_required,,false,fill sector/industry before sector-relative retest
PEP,,,manual_required,,false,fill sector/industry before sector-relative retest
PFE,,,manual_required,,false,fill sector/industry before sector-relative retest
PG,,,manual_required,,false,fill sector/industry before sector-relative retest
PH,,,manual_required,,false,fill sector/industry before sector-relative retest
PLD,,,manual_required,,false,fill sector/industry before sector-relative retest
PM,,,manual_required,,false,fill sector/industry before sector-relative retest
PNC,,,manual_required,,false,fill sector/industry before sector-relative retest
PYPL,,,manual_required,,false,fill sector/industry before sector-relative retest
QCOM,,,manual_required,,false,fill sector/industry before sector-relative retest
REGN,,,manual_required,,false,fill sector/industry before sector-relative retest
ROP,,,manual_required,,false,fill sector/industry before sector-relative retest
RTX,,,manual_required,,false,fill sector/industry before sector-relative retest
SBUX,,,manual_required,,false,fill sector/industry before sector-relative retest
SCHW,,,manual_required,,false,fill sector/industry before sector-relative retest
SHW,,,manual_required,,false,fill sector/industry before sector-relative retest
SLB,,,manual_required,,false,fill sector/industry before sector-relative retest
SNPS,,,manual_required,,false,fill sector/industry before sector-relative retest
SO,,,manual_required,,false,fill sector/industry before sector-relative retest
SPGI,,,manual_required,,false,fill sector/industry before sector-relative retest
SYK,,,manual_required,,false,fill sector/industry before sector-relative retest
T,,,manual_required,,false,fill sector/industry before sector-relative retest
TDG,,,manual_required,,false,fill sector/industry before sector-relative retest
TJX,,,manual_required,,false,fill sector/industry before sector-relative retest
TMO,,,manual_required,,false,fill sector/industry before sector-relative retest
TSLA,,,manual_required,,false,fill sector/industry before sector-relative retest
TXN,,,manual_required,,false,fill sector/industry before sector-relative retest
UBER,,,manual_required,,false,fill sector/industry before sector-relative retest
UNH,,,manual_required,,false,fill sector/industry before sector-relative retest
UNP,,,manual_required,,false,fill sector/industry before sector-relative retest
UPS,,,manual_required,,false,fill sector/industry before sector-relative retest
USB,,,manual_required,,false,fill sector/industry before sector-relative retest
V,,,manual_required,,false,fill sector/industry before sector-relative retest
VRTX,,,manual_required,,false,fill sector/industry before sector-relative retest
VZ,,,manual_required,,false,fill sector/industry before sector-relative retest
WFC,,,manual_required,,false,fill sector/industry before sector-relative retest
WM,,,manual_required,,false,fill sector/industry before sector-relative retest
WMT,,,manual_required,,false,fill sector/industry before sector-relative retest
XOM,,,manual_required,,false,fill sector/industry before sector-relative retest
ZTS,,,manual_required,,false,fill sector/industry before sector-relative retest
