ticker,scoreable_before,newly_scoreable,price_acquired_this_run,fundamentals_acquired_this_run
BRO,False,True,True,True
BSX,True,False,False,False
BTI,True,False,False,False
BUD,True,False,False,False
BX,True,False,False,False
BXP,False,True,True,True
C,True,False,False,False
CAG,False,True,True,True
CAH,False,True,True,True
CARR,False,True,True,True
CASY,False,True,True,True
CAT,True,False,False,False
CB,True,False,False,False
CBOE,False,True,True,True
CBRE,False,True,True,True
CCI,False,True,True,True
CCL,False,True,True,True
CDNS,True,False,False,False
CDW,False,True,True,True
CEG,True,False,False,False
CF,False,True,True,True
CFG,False,True,True,True
CHD,False,True,True,True
CHRW,False,True,True,True
CHTR,False,True,True,True
CI,True,False,False,False
CIEN,True,False,False,False
CINF,False,True,True,True
CL,True,False,False,False
CLX,False,True,True,True
CM,True,False,False,False
CMCSA,True,False,False,False
CME,True,False,False,False
CMG,False,True,True,True
CMI,True,False,False,False
CMS,False,True,True,True
CNC,False,True,True,True
CNI,True,False,False,False
CNP,False,True,True,True
CNQ,True,False,False,False
COF,True,False,False,False
COHR,True,False,False,False
COIN,False,True,True,True
COO,False,True,True,True
COP,True,False,False,False
COR,False,True,True,True
COST,True,False,False,False
CP,True,False,False,False
CPAY,False,True,True,True
CPRT,False,True,True,True
CPT,False,True,True,True
CRH,True,False,False,False
CRL,False,True,True,True
CRM,True,False,False,False
CRWD,True,False,False,False
CSCO,True,False,False,False
CSGP,False,True,True,True
CSX,True,False,False,False
CTAS,True,False,False,False
CTSH,False,True,True,True
CTVA,False,True,True,True
CVNA,True,False,False,False
CVS,True,False,False,False
CVX,True,False,False,False
CYATY,True,False,False,False
D,True,False,False,False
DAL,False,True,True,True
DASH,True,False,False,False
DB,True,False,False,False
DD,False,True,True,True
DDOG,True,False,False,False
DE,True,False,False,False
DECK,False,True,True,True
DELL,True,False,False,False
DG,False,True,True,True
DGX,False,True,True,True
DHI,False,True,True,True
DHR,True,False,False,False
DIS,True,False,False,False
DLR,True,False,False,False
DLTR,False,True,True,True
DOC,False,True,True,True
DOV,False,True,True,True
DOW,False,True,True,True
DPZ,False,True,True,True
DRI,False,True,True,True
DTE,False,True,True,True
DTEGY,True,False,False,False
DUK,True,False,False,False
DVA,False,True,True,True
DVN,False,True,True,True
DXCM,False,True,True,True
E,True,False,False,False
EA,False,True,True,True
EBAY,False,True,True,True
ECL,True,False,False,False
ED,False,True,True,True
EFX,False,True,True,True
EG,False,True,True,True
EIX,False,True,True,True
EL,False,True,True,True
ELV,True,False,False,False
EME,False,True,True,True
EMR,True,False,False,False
ENB,True,False,False,False
EOG,True,False,False,False
EPD,True,False,False,False
EQIX,True,False,False,False
EQNR,True,False,False,False
EQR,False,True,True,True
EQT,False,True,True,True
ERIE,False,True,True,True
ES,False,True,True,True
ESS,False,True,True,True
ET,True,False,False,False
ETN,True,False,False,False
ETR,False,True,True,True
EVRG,False,True,True,True
EW,False,True,True,True
EXC,False,True,True,True
EXE,False,True,True,True
EXPD,False,True,True,True
EXPE,False,True,True,True
EXR,False,True,True,True
F,True,False,False,False
FANG,False,True,True,True
FAST,False,True,True,True
FCX,True,False,False,False
FDS,False,True,True,True
FDX,True,False,False,False
FE,False,True,True,True
FFIV,False,True,True,True
FICO,False,True,True,True
FIS,False,True,True,True
FISV,False,True,True,True
FITB,False,True,True,True
FIX,True,False,False,False
FLEX,False,True,True,True
FOX,False,True,True,True
FOXA,False,True,True,True
FRT,False,True,True,True
FSLR,False,True,True,True
FTNT,True,False,False,False
FTV,False,True,True,True
GD,True,False,False,False
GDDY,False,True,True,True
GE,True,False,False,False
GEHC,False,True,True,True
GEN,False,True,True,True
GEV,True,False,False,False
GILD,True,False,False,False
GIS,False,True,True,True
GL,False,True,True,True
GLW,True,False,False,False
GM,True,False,False,False
GNRC,False,True,True,True
GOOG,False,True,True,True
GOOGL,True,False,False,False
GPC,False,True,True,True
GPN,False,True,True,True
GRMN,False,True,True,True
GS,True,False,False,False
GSK,True,False,False,False
GWW,True,False,False,False
HAL,False,True,True,True
HAS,False,True,True,True
HBAN,False,True,True,True
HCA,True,False,False,False
HD,True,False,False,False
HDB,True,False,False,False
HIG,False,True,True,True
HII,False,True,True,True
HLT,True,False,False,False
HON,True,False,False,False
HOOD,True,False,False,False
HPE,True,False,False,False
HPQ,False,True,True,True
HRL,False,True,True,True
HSBC,True,False,False,False
HSIC,False,True,True,True
HST,False,True,True,True
HSY,False,True,True,True
HTHIY,True,False,False,False
HUBB,False,True,True,True
HUM,False,True,True,True
HWM,True,False,False,False
IBKR,True,False,False,False
IBM,True,False,False,False
IBN,True,False,False,False
ICE,True,False,False,False
IDXX,False,True,True,True
IEX,False,True,True,True
IFF,False,True,True,True
IFNNY,True,False,False,False
IMO,True,False,False,False
INCY,False,True,True,True
ING,True,False,False,False
INTC,True,False,False,False
INTU,True,False,False,False
INVH,False,True,True,True
IP,False,True,True,True
IQV,False,True,True,True
IR,False,True,True,True
IRM,False,True,True,True
ISRG,True,False,False,False
IT,False,True,True,True
ITUB,True,False,False,False
ITW,True,False,False,False
IVZ,False,True,True,True
J,False,True,True,True
JBHT,False,True,True,True
JBL,False,True,True,True
JCI,True,False,False,False
JKHY,False,True,True,True
JNJ,True,False,False,False
JPM,True,False,False,False
KDP,False,True,True,True
KEY,False,True,True,True
KEYS,True,False,False,False
KHC,False,True,True,True
KIM,False,True,True,True
KKR,True,False,False,False
KLAC,True,False,False,False
KMB,False,True,True,True
KMI,True,False,False,False
KO,True,False,False,False
KR,False,True,True,True
KVUE,False,True,True,True
KXIAY,True,False,False,False
L,False,True,True,True
LDOS,False,True,True,True
LEN,False,True,True,True
LH,False,True,True,True
LHX,False,True,True,True
LII,False,True,True,True
LIN,True,False,False,False
LITE,True,False,False,False
LLY,True,False,False,False
LMT,True,False,False,False
LNT,False,True,True,True
LOW,True,False,False,False
LRCX,True,False,False,False
LSEGY,True,False,False,False
LULU,False,True,True,True
LUV,False,True,True,True
LVS,False,True,True,True
LYB,False,True,True,True
LYG,True,False,False,False
LYV,False,True,True,True
MA,True,False,False,False
MAA,False,True,True,True
MAR,True,False,False,False
MAS,False,True,True,True
MCD,True,False,False,False
MCHP,False,True,True,True
MCK,True,False,False,False
MCO,True,False,False,False
MDLN,True,False,False,False
MDLZ,True,False,False,False
MDT,True,False,False,False
MELI,True,False,False,False
MET,False,True,True,True
META,True,False,False,False
MFC,True,False,False,False
MFG,True,False,False,False
MGCLY,True,False,False,False
MGM,False,True,True,True
MKC,False,True,True,True
MLM,False,True,True,True
MMM,True,False,False,False
MNST,True,False,False,False
MO,True,False,False,False
MOS,False,True,True,True
MPC,True,False,False,False
MPWR,True,False,False,False
MRK,True,False,False,False
MRNA,False,True,True,True
MRSH,True,False,False,False
MRVL,True,False,False,False
MS,True,False,False,False
MSCI,False,True,True,True
MSFT,True,False,False,False
MSI,True,False,False,False
MTB,False,True,True,True
MTD,False,True,True,True
MU,True,False,False,False
MUFG,True,False,False,False
NBIS,True,False,False,False
NCLH,False,True,True,True
NDAQ,False,True,True,True
NDSN,False,True,True,True
NEE,True,False,False,False
NEM,True,False,False,False
NET,True,False,False,False
NFLX,True,False,False,False
NGG,True,False,False,False
NI,False,True,True,True
NKE,True,False,False,False
NOC,True,False,False,False
NOK,True,False,False,False
NOW,True,False,False,False
NRG,False,True,True,True
NSC,True,False,False,False
NTAP,False,True,True,True
NTES,True,False,False,False
NTRS,False,True,True,True
NU,True,False,False,False
NUE,True,False,False,False
NVDA,True,False,False,False
NVO,True,False,False,False
NVR,False,True,True,True
NVS,True,False,False,False
NWG,True,False,False,False
NWS,False,True,True,True
NWSA,False,True,True,True
NXPI,True,False,False,False
O,True,False,False,False
ODFL,False,True,True,True
OKE,False,True,True,True
OMC,False,True,True,True
ON,False,True,True,True
ORCL,True,False,False,False
ORLY,True,False,False,False
OTIS,False,True,True,True
OXY,False,True,True,True
PANW,True,False,False,False
PAYX,False,True,True,True
PBR,True,False,False,False
PCAR,True,False,False,False
PCG,False,True,True,True
PDD,True,False,False,False
PEG,False,True,True,True
PEP,True,False,False,False
PFE,True,False,False,False
PFG,False,True,True,True
PG,True,False,False,False
PGR,True,False,False,False
PH,True,False,False,False
PHM,False,True,True,True
PKG,False,True,True,True
PLD,True,False,False,False
PLTR,True,False,False,False
PM,True,False,False,False
PNC,True,False,False,False
PNR,False,True,True,True
PNW,False,True,True,True
PODD,False,True,True,True
PPG,False,True,True,True
PPL,False,True,True,True
PRU,False,True,True,True
PSA,False,True,True,True
PSKY,False,True,True,True
PSX,True,False,False,False
PTC,False,True,True,True
PWR,True,False,False,False
PYPL,False,True,True,True
Q,False,True,True,True
QCOM,True,False,False,False
RACE,True,False,False,False
RCL,True,False,False,False
REG,False,True,True,True
REGN,True,False,False,False
RELX,True,False,False,False
RF,False,True,True,True
RIO,True,False,False,False
RJF,False,True,True,True
RKLB,True,False,False,False
RL,False,True,True,True
RMD,False,True,True,True
ROK,False,True,True,True
ROL,False,True,True,True
ROP,False,True,True,True
ROST,True,False,False,False
RSG,True,False,False,False
RTNTF,True,False,False,False
RTX,True,False,False,False
RVTY,False,True,True,True
RY,True,False,False,False
SAN,True,False,False,False
SAP,True,False,False,False
SATS,False,True,True,True
SBAC,False,True,True,True
SBUX,True,False,False,False
SCCO,True,False,False,False
SCHW,True,False,False,False
SHEL,True,False,False,False
SHOP,True,False,False,False
SHW,True,False,False,False
SJM,False,True,True,True
SLB,True,False,False,False
SMERY,True,False,False,False
SMFG,True,False,False,False
SNA,False,True,True,True
SNDK,True,False,False,False
SNOW,True,False,False,False
SNPS,True,False,False,False
SNY,True,False,False,False
SO,True,False,False,False
SOLV,False,True,True,True
SONY,True,False,False,False
SPG,True,False,False,False
SPGI,True,False,False,False
SPOT,True,False,False,False
SRE,True,False,False,False
STE,False,True,True,True
STLD,False,True,True,True
STM,True,False,False,False
STT,False,True,True,True
STX,True,False,False,False
STZ,False,True,True,True
SU,True,False,False,False
SW,False,True,True,True
SWK,False,True,True,True
SWKS,False,True,True,True
SYK,True,False,False,False
T,True,False,False,False
TAP,False,True,True,True
TD,True,False,False,False
TDG,True,False,False,False
TECH,False,True,True,True
TEL,True,False,False,False
TER,True,False,False,False
TFC,True,False,False,False
TGT,True,False,False,False
TJX,True,False,False,False
TM,True,False,False,False
TMO,True,False,False,False
TMUS,True,False,False,False
TRGP,True,False,False,False
TRP,True,False,False,False
TRV,True,False,False,False
TSLA,True,False,False,False
TT,True,False,False,False
TTE,True,False,False,False
TXN,True,False,False,False
UBER,True,False,False,False
UBS,True,False,False,False
UL,True,False,False,False
UNH,True,False,False,False
UNP,True,False,False,False
UPS,True,False,False,False
URI,True,False,False,False
USB,True,False,False,False
V,True,False,False,False
VALE,True,False,False,False
VLO,True,False,False,False
VRT,True,False,False,False
VRTX,True,False,False,False
VZ,True,False,False,False
WBD,True,False,False,False
WDC,True,False,False,False
WELL,True,False,False,False
WFC,True,False,False,False
WM,True,False,False,False
WMB,True,False,False,False
WMT,True,False,False,False
XOM,True,False,False,False
XYZ,False,True,True,True
FDXF,False,True,True,True
