ticker,asset_class,required_fields,min_history_start,required_frequency,point_in_time_rule,priority,why_needed,acceptable_local_file_format
TIP,rates,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,rates proxy (us_tips) feeding the rates_inflation_breakeven cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
LQD,credit,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,credit proxy (investment_grade_credit) feeding the credit_risk_ig cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
HYG,credit,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,credit proxy (high_yield_credit) feeding the credit_risk_hy cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
GLD,commodity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,commodity proxy (gold) feeding the commodity_inflation_gold cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
SLV,commodity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,commodity proxy (silver) feeding the commodity_inflation_silver cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
DBC,commodity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,commodity proxy (broad_commodity) feeding the commodity_inflation_broad cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
USO,commodity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,commodity proxy (crude_oil) feeding the commodity_inflation_energy cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
UUP,currency,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,currency proxy (us_dollar_index) feeding the dollar_liquidity_usd cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
FXE,currency,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,currency proxy (euro) feeding the dollar_liquidity_eur cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
FXY,currency,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,currency proxy (japanese_yen) feeding the dollar_liquidity_jpy cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
VIXY,volatility,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,volatility proxy (vix_short_term_futures) feeding the volatility_risk cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
