ticker,in_price_cache,in_sp500_list,has_earnings_cache
SLB,True,True,True
SMERY,True,False,True
SMFG,True,False,True
SNDK,True,True,True
SNHIY,True,False,True
SNOW,True,False,True
SNPS,True,True,True
SNY,True,False,True
SO,True,True,True
SONY,True,False,True
SPG,True,True,True
SPGI,True,True,True
SPOT,True,False,True
SPY,True,False,False
SRE,True,True,True
STM,True,False,True
STX,True,True,True
SU,True,False,True
SYK,True,True,True
T,True,True,True
TD,True,False,True
TDG,True,True,True
TEL,True,True,True
TER,True,True,True
TFC,True,True,True
TGT,True,True,True
TJX,True,True,True
TM,True,False,True
TMO,True,True,True
TMUS,True,True,True
TRGP,True,True,True
TRP,True,False,True
TRV,True,True,True
TSLA,True,True,True
TT,True,True,True
TTE,True,False,True
TXN,True,True,True
UBER,True,True,True
UBS,True,False,True
UL,True,False,True
UNH,True,True,True
UNP,True,True,True
UPS,True,True,True
URI,True,True,True
USB,True,True,True
V,True,True,True
VALE,True,False,True
VLO,True,True,True
VRT,True,True,True
VRTX,True,True,True
VZ,True,True,True
WBD,True,True,True
WDC,True,True,True
WELL,True,True,True
WFC,True,True,True
WM,True,True,True
WMB,True,True,True
WMT,True,True,True
XOM,True,True,True
