ticker,in_price_cache,in_sp500_list,has_earnings_cache,scoreable_after_price_only,needs_earnings_too
DD,False,True,False,False,True
EBAY,False,True,False,False,True
SATS,False,True,False,False,True
EIX,False,True,False,False,True
EW,False,True,False,False,True
EA,False,True,False,False,True
EME,False,True,False,False,True
ETR,False,True,False,False,True
EQT,False,True,False,False,True
EFX,False,True,False,False,True
EQR,False,True,False,False,True
ERIE,False,True,False,False,True
ESS,False,True,False,False,True
EL,False,True,False,False,True
EG,False,True,False,False,True
EVRG,False,True,False,False,True
ES,False,True,False,False,True
EXC,False,True,False,False,True
EXE,False,True,False,False,True
EXPE,False,True,False,False,True
EXPD,False,True,False,False,True
EXR,False,True,False,False,True
FFIV,False,True,False,False,True
FDS,False,True,False,False,True
FICO,False,True,False,False,True
FAST,False,True,False,False,True
FRT,False,True,False,False,True
FDXF,False,True,False,False,True
FIS,False,True,False,False,True
FITB,False,True,False,False,True
FSLR,False,True,False,False,True
FE,False,True,False,False,True
FISV,False,True,False,False,True
FLEX,False,True,False,False,True
FTV,False,True,False,False,True
FOXA,False,True,False,False,True
FOX,False,True,False,False,True
BEN,False,True,False,False,True
GRMN,False,True,False,False,True
IT,False,True,False,False,True
GEHC,False,True,False,False,True
GEN,False,True,False,False,True
GNRC,False,True,False,False,True
GIS,False,True,False,False,True
GPC,False,True,False,False,True
GPN,False,True,False,False,True
GL,False,True,False,False,True
GDDY,False,True,False,False,True
HAL,False,True,False,False,True
HIG,False,True,False,False,True
HAS,False,True,False,False,True
DOC,False,True,False,False,True
HSIC,False,True,False,False,True
HSY,False,True,False,False,True
HRL,False,True,False,False,True
HST,False,True,False,False,True
HPQ,False,True,False,False,True
HUBB,False,True,False,False,True
HUM,False,True,False,False,True
HBAN,False,True,False,False,True
HII,False,True,False,False,True
IEX,False,True,False,False,True
IDXX,False,True,False,False,True
INCY,False,True,False,False,True
IR,False,True,False,False,True
PODD,False,True,False,False,True
IFF,False,True,False,False,True
IP,False,True,False,False,True
IVZ,False,True,False,False,True
INVH,False,True,False,False,True
IQV,False,True,False,False,True
IQVIA,False,True,False,False,True
IRM,False,True,False,False,True
JBHT,False,True,False,False,True
JBL,False,True,False,False,True
JKHY,False,True,False,False,True
J,False,True,False,False,True
KVUE,False,True,False,False,True
KDP,False,True,False,False,True
KEY,False,True,False,False,True
KMB,False,True,False,False,True
KIM,False,True,False,False,True
KHC,False,True,False,False,True
KR,False,True,False,False,True
LHX,False,True,False,False,True
LH,False,True,False,False,True
LVS,False,True,False,False,True
LDOS,False,True,False,False,True
LEN,False,True,False,False,True
LII,False,True,False,False,True
LYV,False,True,False,False,True
L,False,True,False,False,True
LULU,False,True,False,False,True
LYB,False,True,False,False,True
MTB,False,True,False,False,True
MLM,False,True,False,False,True
MAS,False,True,False,False,True
MKC,False,True,False,False,True
MET,False,True,False,False,True
MTD,False,True,False,False,True
MGM,False,True,False,False,True
MCHP,False,True,False,False,True
MAA,False,True,False,False,True
MRNA,False,True,False,False,True
TAP,False,True,False,False,True
MOS,False,True,False,False,True
MSCI,False,True,False,False,True
NDAQ,False,True,False,False,True
NTAP,False,True,False,False,True
NWSA,False,True,False,False,True
NWS,False,True,False,False,True
NI,False,True,False,False,True
NDSN,False,True,False,False,True
NTRS,False,True,False,False,True
NCLH,False,True,False,False,True
NRG,False,True,False,False,True
NVR,False,True,False,False,True
OXY,False,True,False,False,True
ODFL,False,True,False,False,True
OMC,False,True,False,False,True
ON,False,True,False,False,True
OKE,False,True,False,False,True
OTIS,False,True,False,False,True
PKG,False,True,False,False,True
PSKY,False,True,False,False,True
PAYX,False,True,False,False,True
PYPL,False,True,False,False,True
PNR,False,True,False,False,True
PCG,False,True,False,False,True
PNW,False,True,False,False,True
PPG,False,True,False,False,True
PPL,False,True,False,False,True
PFG,False,True,False,False,True
PRU,False,True,False,False,True
PEG,False,True,False,False,True
PTC,False,True,False,False,True
PSA,False,True,False,False,True
PHM,False,True,False,False,True
DGX,False,True,False,False,True
Q,False,True,False,False,True
RL,False,True,False,False,True
RJF,False,True,False,False,True
REG,False,True,False,False,True
RF,False,True,False,False,True
RMD,False,True,False,False,True
RVTY,False,True,False,False,True
ROK,False,True,False,False,True
ROL,False,True,False,False,True
ROP,False,True,False,False,True
SBAC,False,True,False,False,True
SWKS,False,True,False,False,True
SJM,False,True,False,False,True
SW,False,True,False,False,True
SNA,False,True,False,False,True
SOLV,False,True,False,False,True
LUV,False,True,False,False,True
SWK,False,True,False,False,True
STT,False,True,False,False,True
STLD,False,True,False,False,True
STE,False,True,False,False,True
SMCI,False,True,False,False,True
SYF,False,True,False,False,True
SYY,False,True,False,False,True
TROW,False,True,False,False,True
TTWO,False,True,False,False,True
TPR,False,True,False,False,True
TDY,False,True,False,False,True
TPL,False,True,False,False,True
TXT,False,True,False,False,True
TKO,False,True,False,False,True
TTD,False,True,False,False,True
TSCO,False,True,False,False,True
TRMB,False,True,False,False,True
TYL,False,True,False,False,True
TSN,False,True,False,False,True
UDR,False,True,False,False,True
ULTA,False,True,False,False,True
UAL,False,True,False,False,True
UHS,False,True,False,False,True
VEEV,False,True,False,False,True
VTR,False,True,False,False,True
VLTO,False,True,False,False,True
VRSN,False,True,False,False,True
VRSK,False,True,False,False,True
VTRS,False,True,False,False,True
VICI,False,True,False,False,True
VST,False,True,False,False,True
VMC,False,True,False,False,True
WRB,False,True,False,False,True
WAB,False,True,False,False,True
WAT,False,True,False,False,True
WEC,False,True,False,False,True
WST,False,True,False,False,True
WY,False,True,False,False,True
WSM,False,True,False,False,True
WTW,False,True,False,False,True
WDAY,False,True,False,False,True
WYNN,False,True,False,False,True
XEL,False,True,False,False,True
XYL,False,True,False,False,True
YUM,False,True,False,False,True
ZBRA,False,True,False,False,True
ZBH,False,True,False,False,True
ZTS,False,True,False,False,True
