ticker,review_label,liquidity_proxy,low_liquidity_flag
FTNT,LONG,271073332.35016,False
HLT,LONG,289118572.54942,False
ABBV,LONG,711331046.80779,False
DAL,LONG,488197019.72262,False
WM,LONG,235856621.79415,False
VRTX,LONG,403766019.06806,False
IDXX,LONG,190059477.03108,False
MCK,LONG,342493152.87244,False
HTHIY,LONG,4995539.07038,True
CDNS,LONG,280341195.76926,False
HST,LONG,137963806.01482,False
PKG,LONG,103164368.73084,True
HOOD,LONG,1095181252.01026,False
UNP,LONG,545968024.69713,False
XYZ,LONG,859760671.18819,False
CCI,LONG,286754497.67182,False
GEN,LONG,143107643.43345,False
CAG,LONG,150930119.64734,False
CAH,LONG,204013506.70309,False
ITW,LONG,211104910.15938,False
CTAS,LONG,181261743.2487,False
MNST,LONG,236069285.08957,False
AAPL,LONG,9706746175.48209,False
SONY,HOLD,72414231.82011,True
RCL,HOLD,348629775.53331,False
NWS,HOLD,15875190.15073,True
NWSA,HOLD,55493461.21123,True
OTIS,HOLD,200790430.47839,False
MELI,HOLD,530388212.44647,False
LH,HOLD,147018170.59174,False
ELV,HOLD,440904010.5527,False
B,HOLD,307679708.25811,False
GILD,HOLD,540155682.6586,False
JKHY,HOLD,82117957.08843,True
META,HOLD,5679819056.53591,False
PSA,HOLD,223824473.73512,False
KEYS,HOLD,151503293.29922,False
DOW,HOLD,284886111.96291,False
APD,HOLD,254762317.72697,False
IBM,HOLD,672251607.45112,False
MA,HOLD,1063080377.8802,False
GLW,HOLD,253643292.21584,False
ROL,HOLD,76057498.38005,True
LYG,HOLD,25442168.72388,True
ALL,HOLD,222329898.70441,False
NOK,HOLD,141853532.48899,False
CMCSA,HOLD,735234303.49464,False
SMFG,HOLD,15779865.66722,True
FIX,HOLD,85788355.64088,True
ABT,HOLD,537721861.68639,False
NET,HOLD,377992070.03942,False
DB,HOLD,54810598.49666,True
MCHP,HOLD,469124925.92244,False
TECH,HOLD,168232972.92486,False
APH,HOLD,292833541.80615,False
ESS,HOLD,106319758.05759,True
BIIB,HOLD,382312706.50552,False
DASH,HOLD,578807156.33401,False
RSG,HOLD,149111920.3613,False
FCX,HOLD,473413569.31123,False
KO,HOLD,718095005.76864,False
ON,HOLD,310579365.41483,False
CYATY,HOLD,21255749.5378,True
BTI,HOLD,108701146.19464,True
AMD,HOLD,5013379026.41396,False
NDSN,HOLD,50705355.0906,True
CHTR,HOLD,540555009.62736,False
KMI,HOLD,221683365.63402,False
DHI,HOLD,275575061.73325,False
ISRG,HOLD,523796750.64107,False
MUFG,HOLD,21112561.47904,True
TMUS,HOLD,563520236.92723,False
CAT,HOLD,716759000.26897,False
PODD,HOLD,118123941.43654,True
MO,HOLD,319967134.64288,False
NDAQ,HOLD,255153615.89041,False
ALAB,HOLD,643138125.25541,False
CB,HOLD,308934200.62796,False
TMO,HOLD,664831524.42664,False
AOS,HOLD,78162271.21444,True
EOG,HOLD,315882949.6141,False
BR,HOLD,94717376.18657,True
STM,HOLD,119213068.25649,True
NVS,HOLD,152673893.56735,False
MSCI,HOLD,189336597.81144,False
DLR,HOLD,203265813.38321,False
TEL,HOLD,197347526.3942,False
PCAR,HOLD,165222985.54604,False
CSX,HOLD,381404759.50101,False
CVX,HOLD,952992762.85123,False
EL,HOLD,314382561.27904,False
PLD,HOLD,286232631.76292,False
EPD,HOLD,99526815.96623,True
MSFT,HOLD,6381051333.63983,False
JNJ,HOLD,1072612020.57244,False
CPT,HOLD,84133013.85812,True
PGR,HOLD,313337244.69891,False
BDX,HOLD,416533815.98068,False
DECK,HOLD,643114738.29636,False
CSGP,HOLD,687610371.96707,False
CINF,HOLD,70019221.35416,True
EQNR,HOLD,58169625.51142,True
C,HOLD,965830281.47756,False
AIZ,HOLD,61609768.62814,True
AMT,HOLD,367141410.50154,False
AKAM,HOLD,170604549.08156,False
STE,HOLD,90146123.1365,True
AME,HOLD,140528406.66517,False
IQV,HOLD,205702938.96369,False
ARES,HOLD,92661519.96568,True
T,HOLD,725872437.38793,False
CNQ,HOLD,120090038.21152,True
GE,HOLD,894584850.48004,False
KMB,HOLD,270594071.67075,False
COIN,HOLD,1862652771.38024,False
HSY,HOLD,205648649.72386,False
ACGL,HOLD,115434734.82811,True
COF,HOLD,360499938.4049,False
STZ,HOLD,296188276.2745,False
AVB,HOLD,146204577.90575,False
FTV,HOLD,156514593.63235,False
MCD,HOLD,678972548.16057,False
VZ,HOLD,682047652.13294,False
ITUB,HOLD,120967753.03621,True
MGM,HOLD,221896118.97313,False
WBD,HOLD,274235628.13802,False
HUM,HOLD,397387964.24323,False
SPG,HOLD,214266185.26297,False
TT,HOLD,250154510.41111,False
MSI,HOLD,199997334.20178,False
PYPL,HOLD,1028311754.59391,False
MAR,HOLD,320705269.43211,False
SO,HOLD,270046551.28242,False
SAN,HOLD,28717407.78721,True
INVH,HOLD,109258091.2301,True
DIS,HOLD,1194384428.10986,False
NEE,HOLD,515539786.5865,False
SHW,HOLD,368089323.03318,False
SLB,HOLD,440944679.55072,False
MTD,HOLD,140198697.57654,False
PH,HOLD,260492946.66061,False
DUK,HOLD,262652344.10232,False
FFIV,HOLD,117880992.47108,True
FLEX,HOLD,128234386.66108,False
TRV,HOLD,221094358.29035,False
RTX,HOLD,521058327.84711,False
VLO,HOLD,335210105.73245,False
ROK,HOLD,199061923.14665,False
RVTY,HOLD,87840034.25294,True
PBR,HOLD,147737859.19156,False
COP,HOLD,487329330.40786,False
LITE,HOLD,327582490.34534,False
HD,HOLD,984999545.62949,False
REGN,HOLD,451153713.37294,False
DVA,HOLD,101659717.91229,True
AXP,HOLD,517814007.52611,False
AMGN,HOLD,583222430.35328,False
BXP,HOLD,102234254.30604,True
O,HOLD,182084097.64952,False
AJG,HOLD,172967569.61319,False
DHR,HOLD,567920677.77463,False
ICE,HOLD,287269629.41065,False
EFX,HOLD,175014297.85633,False
CVS,HOLD,508348304.86283,False
ASX,HOLD,38608656.33734,True
CNI,HOLD,110996291.66977,True
ALB,HOLD,232088954.08748,False
SU,HOLD,130083020.09666,False
PG,HOLD,905629520.3473,False
EXR,HOLD,128444704.23832,False
TRP,HOLD,71525934.37509,True
CDW,HOLD,130893060.27157,False
SPGI,HOLD,454232906.10424,False
JCI,HOLD,255664200.41984,False
IBKR,HOLD,100085051.01799,True
ES,HOLD,133747370.77869,False
WMB,HOLD,214537033.60366,False
BLDR,HOLD,119907063.29287,True
KIM,HOLD,89490179.20639,True
BAX,HOLD,207565134.99235,False
HWM,HOLD,168753183.88818,False
FRT,HOLD,64676142.11279,True
MDLN,HOLD,336568020.91019,False
HIG,HOLD,139458033.23009,False
BCS,HOLD,72708402.88398,True
SBAC,HOLD,179283350.22541,False
EQIX,HOLD,305868032.54636,False
LDOS,HOLD,99346416.17149,True
GL,HOLD,58200822.61441,True
NUE,HOLD,205942006.00657,False
EQR,HOLD,134892725.15282,False
SNY,HOLD,78099559.59826,True
BABA,HOLD,2545600991.26243,False
AEE,HOLD,116994490.10131,True
DOC,HOLD,113851831.58252,True
AZN,HOLD,282809470.5277,False
FDS,HOLD,100670890.83567,True
KVUE,HOLD,464958725.58172,False
PWR,HOLD,166957583.3594,False
RL,HOLD,133717185.82698,False
EMR,HOLD,244194583.76676,False
NXPI,HOLD,449010907.10563,False
SATS,HOLD,69405441.31569,True
GPN,HOLD,225852971.60201,False
DGX,HOLD,134974740.98683,False
MRK,HOLD,785699030.77725,False
KHC,HOLD,285883866.25502,False
USB,HOLD,317153432.1247,False
CME,HOLD,295966632.09413,False
APO,HOLD,182111093.33436,False
ROP,HOLD,217812771.12887,False
CL,HOLD,308092681.5453,False
BE,HOLD,254378618.4804,False
HCA,HOLD,313927975.98117,False
CHD,HOLD,134668624.82611,False
TSLA,HOLD,16664914048.51181,False
ARM,HOLD,1121432655.25621,False
COR,HOLD,218853738.20236,False
MPC,HOLD,346310451.0979,False
IEX,HOLD,78789478.48936,True
PFE,HOLD,842536347.46879,False
DD,HOLD,33545359.86606,True
CF,HOLD,174526207.00561,False
AEM,HOLD,143733729.03765,False
IR,HOLD,135059071.36717,False
EIX,HOLD,152260429.1127,False
NWG,HOLD,13662672.75696,True
PFG,HOLD,92994586.50332,True
MRNA,HOLD,981774349.75619,False
SAP,HOLD,151700887.91461,False
KKR,HOLD,220019692.61266,False
IFF,HOLD,146286621.56159,False
VALE,HOLD,250709465.76388,False
DTE,HOLD,147411928.35966,False
APA,HOLD,194163920.83438,False
NCLH,HOLD,267531558.05542,False
TFC,HOLD,243710886.47346,False
MMM,HOLD,416978203.32248,False
WFC,HOLD,982947798.60678,False
ALLE,HOLD,83190961.77235,True
XOM,HOLD,1297587114.02638,False
CRL,HOLD,96037061.82984,True
MFC,HOLD,46903558.29937,True
MET,HOLD,284088628.87649,False
LLY,HOLD,1233274787.4966,False
GM,HOLD,550639543.75913,False
AMAT,HOLD,863563734.60328,False
PCG,HOLD,240235067.68794,False
HSBC,HOLD,69327512.0013,True
BBVA,HOLD,15762439.99198,True
TRGP,HOLD,127420227.70759,False
LNT,HOLD,83013278.77268,True
DOV,HOLD,135015172.75025,False
STLD,HOLD,132798995.722,False
STT,HOLD,191462919.14286,False
AES,HOLD,112965340.07444,True
ENB,HOLD,121748701.83166,True
AON,HOLD,275945066.65782,False
KEY,HOLD,209778537.16906,False
HBAN,HOLD,205451544.80628,False
SHEL,HOLD,220518043.80997,False
PNC,HOLD,286139113.88531,False
FITB,HOLD,194080002.22137,False
MFG,HOLD,5195833.60977,True
PTC,HOLD,101768099.35974,True
PSKY,HOLD,289214360.65994,False
UBS,HOLD,48645841.21255,True
EXC,HOLD,318482534.01387,False
FISV,HOLD,394930970.05373,False
MAA,HOLD,93913936.10023,True
BAM,HOLD,80081107.19493,True
OKE,HOLD,195402363.76804,False
PRU,HOLD,194787941.1149,False
ET,HOLD,129722117.22965,False
BA,HOLD,1882103599.92912,False
IMO,HOLD,19501518.64045,True
IRM,HOLD,97646908.17568,True
CI,HOLD,398943452.97674,False
WELL,HOLD,215900369.59583,False
AMX,HOLD,35062494.66173,True
SRE,HOLD,194885263.93977,False
PEG,HOLD,163773194.12767,False
KDP,HOLD,220163351.24008,False
IFNNY,HOLD,7583612.72135,True
CMS,HOLD,127186782.69813,False
ETR,HOLD,275523593.84067,False
Q,HOLD,255530889.7619,False
BRO,HOLD,93347156.63421,True
LIN,HOLD,527167734.61842,False
MTB,HOLD,158015299.20462,False
CP,HOLD,156887889.95941,False
SWKS,HOLD,228109920.50702,False
LRCX,HOLD,752943472.17967,False
NTRS,HOLD,113058885.27742,True
MPWR,HOLD,225677515.84067,False
MS,HOLD,590415407.18194,False
GSK,HOLD,133674895.92032,False
GEHC,HOLD,257612043.70353,False
AIG,HOLD,296931337.74894,False
AMCR,HOLD,23463243.56293,True
ADM,HOLD,185471580.78487,False
ATO,HOLD,94125480.93253,True
ARE,HOLD,117452952.92193,True
AEP,HOLD,225400121.49027,False
CARR,HOLD,264198774.25579,False
PNW,HOLD,78895371.05773,True
SW,HOLD,40680377.00288,True
REG,HOLD,67528426.28811,True
CSCO,HOLD,937403516.43489,False
EVRG,HOLD,101282391.09806,True
HUBB,HOLD,96991062.66104,True
V,HOLD,1508082927.43059,False
SCHW,SHORT,516626926.67617,False
CMI,SHORT,238863823.3799,False
ORLY,SHORT,331905142.43974,False
E,SHORT,7814921.40373,True
L,SHORT,53612241.41802,True
ERIE,SHORT,24829924.91114,True
ING,SHORT,38355191.62686,True
PPL,SHORT,163763278.64681,False
CFG,SHORT,190185768.06626,False
ETN,SHORT,369226170.9359,False
TM,SHORT,38922415.21987,True
BP,SHORT,240867244.33487,False
INTC,SHORT,1776537843.29757,False
BN,SHORT,90930847.89922,True
NSC,SHORT,274892312.24583,False
AWK,SHORT,132511710.03552,False
BKR,SHORT,192894279.49254,False
BMY,SHORT,567344516.14065,False
NI,SHORT,106610789.25277,True
MDLZ,SHORT,377981493.17802,False
AFL,SHORT,161129769.15054,False
RJF,SHORT,125825031.47223,False
RF,SHORT,205680208.27514,False
UNH,SHORT,1469841488.17719,False
GPC,SHORT,110323725.58213,True
F,SHORT,553827128.58296,False
D,SHORT,222641279.88155,False
BAC,SHORT,1561296962.5664,False
TAP,SHORT,120472766.09761,True
CPRT,SHORT,374757415.87143,False
CTSH,SHORT,269007411.97371,False
IBN,SHORT,113348113.4529,True
TTE,SHORT,79104350.05866,True
NRG,SHORT,168294833.85724,False
LHX,SHORT,221418959.28478,False
CPAY,SHORT,155115364.28284,False
BEN,SHORT,99150523.32977,True
CEG,SHORT,540871309.21474,False
TDG,SHORT,196735225.71109,False
BNY,SHORT,232481474.41519,False
LMT,SHORT,493019038.92022,False
ED,SHORT,175212415.37233,False
CBOE,SHORT,112804329.66003,True
GS,SHORT,851186925.13874,False
FIS,SHORT,309641734.34643,False
KLAC,SHORT,457598531.54419,False
MOS,SHORT,160740984.09813,False
NVO,SHORT,255099912.30531,False
EG,SHORT,92919800.8432,True
LYB,SHORT,227147012.32586,False
CNP,SHORT,133932446.55112,False
APTV,SHORT,183699022.02728,False
CRH,SHORT,149776952.25315,False
RKLB,SHORT,378992840.62067,False
GOOG,SHORT,28760408778.32265,False
GOOGL,SHORT,3758556190.08703,False
CVNA,SHORT,429384601.72938,False
HON,SHORT,527220909.3048,False
PHM,SHORT,156597538.63249,False
HSIC,SHORT,106370167.48306,True
OXY,SHORT,571947748.83444,False
NKE,SHORT,736784832.02591,False
BLK,SHORT,408843867.85497,False
FE,SHORT,162135052.47456,False
SOLV,SHORT,92560308.85604,True
BX,SHORT,325715571.6499,False
PPG,SHORT,187670740.54394,False
AXON,SHORT,138263360.85322,False
COHR,SHORT,193111788.66134,False
SBUX,SHORT,649704650.83033,False
BG,SHORT,113196015.45657,True
NU,SHORT,389687222.54171,False
OMC,SHORT,168603249.78564,False
BSX,SHORT,407302828.32592,False
PEP,SHORT,660458379.76606,False
LII,SHORT,106165446.20729,True
AMP,SHORT,171057305.50715,False
EME,SHORT,79006263.17245,True
SWK,SHORT,168163886.14803,False
MRSH,SHORT,256304522.05498,False
MLM,SHORT,172371925.44176,False
PNR,SHORT,93758988.66961,True
FSLR,SHORT,265853418.93252,False
AMZN,SHORT,8421941682.37484,False
CLX,SHORT,198104099.86705,False
J,SHORT,82196842.05247,True
HII,SHORT,86383841.46825,True
WDC,SHORT,448572374.97604,False
MKC,SHORT,176779841.44486,False
PSX,SHORT,252871468.29936,False
CBRE,SHORT,133441799.37628,False
BALL,SHORT,146405764.60994,False
NOC,SHORT,331514933.96267,False
MAS,SHORT,125421593.6439,True
QCOM,SHORT,1059492593.47649,False
CTVA,SHORT,193732931.54763,False
ASML,SHORT,633881800.53494,False
