ticker,cik,status,rows,fields,origin,note
KLAC,0000319201,CACHED,827,10,cache,
KMI,0001506307,CACHED,757,10,cache,
KO,0000021344,CACHED,715,9,cache,
LIN,0001707925,CACHED,396,9,cache,
LITE,0001633978,CACHED,718,10,cache,
LLY,0000059478,CACHED,558,6,cache,
LMT,0000936468,CACHED,907,10,cache,
LOW,0000060667,CACHED,795,10,cache,
LRCX,0000707549,CACHED,641,8,cache,
LSEGY,0001842726,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
LYG,0001160106,CACHED,0,0,cache,
MA,0001141391,CACHED,996,10,cache,
MAR,0001048286,CACHED,925,9,cache,
MCD,0000063908,CACHED,901,9,cache,
MCK,0000927653,CACHED,736,9,cache,
MCO,0001059556,CACHED,975,10,cache,
MDLZ,0001103982,CACHED,984,10,cache,
MDT,0001613103,CACHED,613,10,cache,
MELI,0001099590,CACHED,975,10,cache,
META,0001326801,CACHED,726,10,cache,
MFC,0001086888,CACHED,0,0,cache,
MFG,0001335730,CACHED,0,0,cache,
MGCLY,0002039784,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
MMM,0000066740,CACHED,890,10,cache,
MNST,0000865752,CACHED,493,7,cache,
MO,0000764180,CACHED,890,10,cache,
MPC,0001510295,CACHED,855,10,cache,
MPWR,0001280452,CACHED,836,10,cache,
MRK,0000310158,CACHED,534,8,cache,
MRSH,0000062709,CACHED,643,8,cache,
MRVL,0001835632,CACHED,314,9,cache,
MS,0000895421,CACHED,697,7,cache,
MSFT,0000789019,CACHED,896,10,cache,
MSI,0000068505,CACHED,742,7,cache,
MU,0000723125,CACHED,861,10,cache,
MUFG,0000067088,CACHED,0,0,cache,
NBIS,0001513845,CACHED,0,0,cache,
NEE,0000753308,CACHED,682,8,cache,
NEM,0001164727,CACHED,658,7,cache,
NET,0001477333,CACHED,352,9,cache,
NFLX,0001065280,CACHED,1064,10,cache,
NGG,0001004315,CACHED,0,0,cache,
NKE,0000320187,CACHED,677,8,cache,
NOC,0001133421,CACHED,962,10,cache,
NOK,0000924613,CACHED,0,0,cache,
NOW,0001373715,CACHED,707,10,cache,
NSC,0000702165,CACHED,875,10,cache,
NTES,0001110646,CACHED,0,0,cache,
NU,0001691493,CACHED,0,0,cache,
NUE,0000073309,CACHED,828,9,cache,
NVDA,0001045810,CACHED,877,10,cache,
NVO,0000353278,CACHED,0,0,cache,
NVS,0001114448,CACHED,0,0,cache,
NWG,0000844150,CACHED,0,0,cache,
NXPI,0001413447,CACHED,337,9,cache,
O,0000726728,CACHED,600,7,cache,
ORCL,0001341439,CACHED,682,9,cache,
ORLY,0000898173,CACHED,904,9,cache,
PANW,0001327567,CACHED,523,10,cache,
PBR,0001119639,CACHED,0,0,cache,
PCAR,0000075362,CACHED,678,8,cache,
PDD,0001737806,CACHED,0,0,cache,
PEP,0000077476,CACHED,703,8,cache,
PFE,0000078003,CACHED,744,9,cache,
PG,0000080424,CACHED,875,9,cache,
PGR,0000080661,CACHED,808,9,cache,
PH,0000076334,CACHED,848,10,cache,
PLD,0001045609,CACHED,735,8,cache,
PLTR,0001321655,CACHED,306,9,cache,
PM,0001413329,CACHED,944,10,cache,
PNC,0000713676,CACHED,573,7,cache,
PSX,0001534701,CACHED,562,7,cache,
PWR,0001050915,CACHED,711,9,cache,
QCOM,0000804328,CACHED,843,8,cache,
RACE,0001648416,CACHED,0,0,cache,
RCL,0000884887,CACHED,904,10,cache,
REGN,0000872589,CACHED,803,8,cache,
RELX,0000929869,CACHED,0,0,cache,
RIO,0000863064,CACHED,0,0,cache,
RKLB,0001819994,CACHED,295,9,cache,
ROST,0000745732,CACHED,802,9,cache,
RSG,0001060391,CACHED,842,9,cache,
RTNTF,0000887028,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
RTX,0000101829,CACHED,807,10,cache,
RY,0001000275,CACHED,0,0,cache,
SAN,0000891478,CACHED,0,0,cache,
SAP,0001000184,CACHED,0,0,cache,
SBUX,0000829224,CACHED,966,10,cache,
SCCO,0001001838,CACHED,608,9,cache,
SCHW,0000316709,CACHED,904,9,cache,
SHEL,0001306965,CACHED,0,0,cache,
SHOP,0001594805,CACHED,113,9,cache,
SHW,0000089800,CACHED,730,9,cache,
SLB,0000087347,CACHED,789,10,cache,
SMERY,0001830056,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
SMFG,0001022837,CACHED,0,0,cache,
SNDK,0002023554,CACHED,149,9,cache,
SNOW,0001640147,CACHED,313,9,cache,
SNPS,0000883241,CACHED,835,10,cache,
SNY,0001121404,CACHED,0,0,cache,
SO,0000092122,CACHED,819,10,cache,
SONY,0000313838,CACHED,0,0,cache,
SPG,0001063761,CACHED,792,7,cache,
SPGI,0000064040,CACHED,884,10,cache,
SPOT,0001639920,CACHED,0,0,cache,
SRE,0001032208,CACHED,582,8,cache,
STM,0000932787,CACHED,0,0,cache,
STX,0001137789,CACHED,781,10,cache,
SU,0000311337,CACHED,0,0,cache,
SYK,0000310764,CACHED,869,10,cache,
T,0000732717,CACHED,654,9,cache,
TD,0000947263,CACHED,0,0,cache,
TDG,0001260221,CACHED,738,10,cache,
TEL,0001385157,CACHED,855,10,cache,
TER,0000097210,CACHED,932,10,cache,
TFC,0000092230,CACHED,468,8,cache,
TGT,0000027419,CACHED,811,9,cache,
TJX,0000109198,CACHED,684,9,cache,
TM,0001094517,CACHED,0,0,cache,
TMO,0000097745,CACHED,765,9,cache,
TMUS,0001283699,CACHED,861,10,cache,
TRGP,0001389170,CACHED,743,9,cache,
TRP,0001232384,CACHED,0,0,cache,
TRV,0000086312,CACHED,685,8,cache,
TSLA,0001318605,CACHED,836,10,cache,
TT,0001466258,CACHED,755,10,cache,
TTE,0000879764,CACHED,0,0,cache,
TXN,0000097476,CACHED,865,10,cache,
UBER,0001543151,CACHED,406,10,cache,
UBS,0001610520,CACHED,0,0,cache,
UL,0000217410,CACHED,0,0,cache,
UNH,0000731766,CACHED,860,10,cache,
UNP,0000100885,CACHED,971,10,cache,
UPS,0001090727,CACHED,865,9,cache,
URI,0001067701,CACHED,928,10,cache,
USB,0000036104,CACHED,608,7,cache,
V,0001403161,CACHED,545,7,cache,
VALE,0000917851,CACHED,0,0,cache,
VLO,0001035002,CACHED,681,8,cache,
VRT,0001674101,CACHED,463,10,cache,
VRTX,0000875320,CACHED,930,10,cache,
VZ,0000732712,CACHED,617,6,cache,
WBD,0001437107,CACHED,871,10,cache,
WDC,0000106040,CACHED,950,9,cache,
WELL,0000766704,CACHED,652,7,cache,
WFC,0000072971,CACHED,579,7,cache,
WM,0000823768,CACHED,824,10,cache,
WMB,0000107263,CACHED,741,9,cache,
WMT,0000104169,CACHED,870,9,cache,
XOM,0000034088,CACHED,770,9,cache,
