ticker,company_name,cik,sector,industry,source,effective_from,effective_to
CME,CME GROUP INC.,0001156375,Financials,Financial Exchanges & Data,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CMG,CHIPOTLE MEXICAN GRILL INC,0001058090,Consumer Discretionary,Restaurants,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
COP,CONOCOPHILLIPS,0001163165,Energy,Oil & Gas Exploration & Production,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
COST,COSTCO WHOLESALE CORP /NEW,0000909832,Consumer Staples,Consumer Staples Merchandise Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CRM,"Salesforce, Inc.",0001108524,Information Technology,Application Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CSCO,"CISCO SYSTEMS, INC.",0000858877,Information Technology,Communications Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CVS,CVS HEALTH Corp,0000064803,Health Care,Health Care Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CVX,CHEVRON CORP,0000093410,Energy,Integrated Oil & Gas,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
DE,DEERE & CO,0000315189,Industrials,Agricultural & Farm Machinery,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
DIS,Walt Disney Co,0001744489,Communication Services,Movies & Entertainment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
DUK,Duke Energy CORP,0001326160,Utilities,Electric Utilities,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ELV,"Elevance Health, Inc.",0001156039,Health Care,Managed Health Care,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
EMR,EMERSON ELECTRIC CO,0000032604,Industrials,Electrical Components & Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
EOG,EOG RESOURCES INC,0000821189,Energy,Oil & Gas Exploration & Production,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
EQIX,EQUINIX INC,0001101239,Real Estate,Data Center REITs,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ETN,Eaton Corp plc,0001551182,Industrials,Electrical Components & Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
FDX,FEDEX CORP,0001048911,Industrials,Air Freight & Logistics,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GD,GENERAL DYNAMICS CORP,0000040533,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GE,GENERAL ELECTRIC CO,0000040545,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GILD,"GILEAD SCIENCES, INC.",0000882095,Health Care,Biotechnology,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GOOG,Alphabet Inc.,0001652044,Communication Services,Interactive Media & Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GOOGL,Alphabet Inc.,0001652044,Communication Services,Interactive Media & Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GS,GOLDMAN SACHS GROUP INC,0000886982,Financials,Investment Banking & Brokerage,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
HCA,"HCA Healthcare, Inc.",0000860730,Health Care,Health Care Facilities,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
HD,"HOME DEPOT, INC.",0000354950,Consumer Discretionary,Home Improvement Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
HON,HONEYWELL INTERNATIONAL INC,0000773840,Industrials,Industrial Conglomerates,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0000051143,Information Technology,IT Consulting & Other Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ICE,"Intercontinental Exchange, Inc.",0001571949,Financials,Financial Exchanges & Data,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
INTC,INTEL CORP,0000050863,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
INTU,INTUIT INC.,0000896878,Information Technology,Application Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ISRG,INTUITIVE SURGICAL INC,0001035267,Health Care,Health Care Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ITW,ILLINOIS TOOL WORKS INC,0000049826,Industrials,Industrial Machinery & Supplies & Components,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
JNJ,JOHNSON & JOHNSON,0000200406,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
JPM,JPMORGAN CHASE & CO,0000019617,Financials,Diversified Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
KLAC,KLA CORP,0000319201,Information Technology,Semiconductor Materials & Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
KO,COCA COLA CO,0000021344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
LIN,LINDE PLC,0001707925,Materials,Industrial Gases,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
LLY,ELI LILLY & Co,0000059478,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
LMT,LOCKHEED MARTIN CORP,0000936468,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
LOW,LOWES COMPANIES INC,0000060667,Consumer Discretionary,Home Improvement Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MA,Mastercard Inc,0001141391,Financials,Transaction & Payment Processing Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MAR,MARRIOTT INTERNATIONAL INC /MD/,0001048286,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MCD,MCDONALDS CORP,0000063908,Consumer Discretionary,Restaurants,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MCO,MOODYS CORP /DE/,0001059556,Financials,Financial Exchanges & Data,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MDLZ,"Mondelez International, Inc.",0001103982,Consumer Staples,Packaged Foods & Meats,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MDT,Medtronic plc,0001613103,Health Care,Health Care Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
META,"Meta Platforms, Inc.",0001326801,Communication Services,Interactive Media & Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MO,"ALTRIA GROUP, INC.",0000764180,Consumer Staples,Tobacco,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MRK,"Merck & Co., Inc.",0000310158,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MS,MORGAN STANLEY,0000895421,Financials,Investment Banking & Brokerage,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MSFT,MICROSOFT CORP,0000789019,Information Technology,Systems Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MU,MICRON TECHNOLOGY INC,0000723125,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NEE,NEXTERA ENERGY INC,0000753308,Utilities,Electric Utilities,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NFLX,NETFLIX INC,0001065280,Communication Services,Movies & Entertainment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NKE,"NIKE, Inc.",0000320187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NOC,NORTHROP GRUMMAN CORP /DE/,0001133421,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NOW,"ServiceNow, Inc.",0001373715,Information Technology,Systems Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NVDA,NVIDIA CORP,0001045810,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ORCL,ORACLE CORP,0001341439,Information Technology,Systems Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ORLY,O REILLY AUTOMOTIVE INC,0000898173,Consumer Discretionary,Automotive Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PANW,Palo Alto Networks Inc,0001327567,Information Technology,Systems Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PEP,PEPSICO INC,0000077476,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PFE,PFIZER INC,0000078003,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PG,PROCTER & GAMBLE Co,0000080424,Consumer Staples,Household Products,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PH,Parker-Hannifin Corp,0000076334,Industrials,Industrial Machinery & Supplies & Components,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PLD,"Prologis, Inc.",0001045609,Real Estate,Industrial REITs,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PM,Philip Morris International Inc.,0001413329,Consumer Staples,Tobacco,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",0000713676,Financials,Regional Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PYPL,"PayPal Holdings, Inc.",0001633917,Financials,Transaction & Payment Processing Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
QCOM,QUALCOMM INC/DE,0000804328,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,Health Care,Biotechnology,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ROP,ROPER TECHNOLOGIES INC,0000882835,Information Technology,Application Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
RTX,RTX Corp,0000101829,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SBUX,STARBUCKS CORP,0000829224,Consumer Discretionary,Restaurants,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SCHW,SCHWAB CHARLES CORP,0000316709,Financials,Investment Banking & Brokerage,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SHW,SHERWIN WILLIAMS CO,0000089800,Materials,Specialty Chemicals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SLB,SLB LIMITED/NV,0000087347,Energy,Oil & Gas Equipment & Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SNPS,SYNOPSYS INC,0000883241,Information Technology,Application Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SO,SOUTHERN CO,0000092122,Utilities,Electric Utilities,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SPGI,S&P Global Inc.,0000064040,Financials,Financial Exchanges & Data,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
SYK,STRYKER CORP,0000310764,Health Care,Health Care Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
T,AT&T INC.,0000732717,Communication Services,Integrated Telecommunication Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
TDG,TransDigm Group INC,0001260221,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
TJX,TJX COMPANIES INC /DE/,0000109198,Consumer Discretionary,Apparel Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,Health Care,Life Sciences Tools & Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
TSLA,"Tesla, Inc.",0001318605,Consumer Discretionary,Automobile Manufacturers,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
TXN,TEXAS INSTRUMENTS INC,0000097476,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
UBER,"Uber Technologies, Inc",0001543151,Industrials,Passenger Ground Transportation,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
UNH,UNITEDHEALTH GROUP INC,0000731766,Health Care,Managed Health Care,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
UNP,UNION PACIFIC CORP,0000100885,Industrials,Rail Transportation,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
UPS,UNITED PARCEL SERVICE INC,0001090727,Industrials,Air Freight & Logistics,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
USB,US BANCORP DE,0000036104,Financials,Regional Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
V,VISA INC.,0001403161,Financials,Transaction & Payment Processing Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
VRTX,VERTEX PHARMACEUTICALS INC / MA,0000875320,Health Care,Biotechnology,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
VZ,VERIZON COMMUNICATIONS INC,0000732712,Communication Services,Integrated Telecommunication Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
WFC,WELLS FARGO & COMPANY/MN,0000072971,Financials,Diversified Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
WM,WASTE MANAGEMENT INC,0000823768,Industrials,Environmental & Facilities Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
WMT,Walmart Inc.,0000104169,Consumer Staples,Consumer Staples Merchandise Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
XOM,EXXON MOBIL CORP,0000034088,Energy,Integrated Oil & Gas,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ZTS,Zoetis Inc.,0001555280,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
