feature_col,family,transform,description,orthogonal_to,coverage
f_rchg_5,eodhd_eps_growth_yoy,eps_growth_yoy,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rmean_21,eodhd_eps_growth_yoy,eps_growth_yoy,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rstd_21,eodhd_eps_growth_yoy,eps_growth_yoy,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rchg_21,eodhd_eps_growth_yoy,eps_growth_yoy,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rmean_63,eodhd_eps_growth_yoy,eps_growth_yoy,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rstd_63,eodhd_eps_growth_yoy,eps_growth_yoy,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_rchg_63,eodhd_eps_growth_yoy,eps_growth_yoy,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38398
f_z,eodhd_eps_growth_yoy,eps_growth_yoy,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38473
f_sector_z,eodhd_eps_growth_yoy,eps_growth_yoy,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38187
f_rank,eodhd_eps_growth_yoy,eps_growth_yoy,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38473
f_winz,eodhd_eps_growth_yoy,eps_growth_yoy,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38473
f_x_surprise,eodhd_eps_growth_yoy,eps_growth_yoy,cross-family interaction: eps_growth_yoy x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36685
f_x_quality,eodhd_eps_growth_yoy,eps_growth_yoy,cross-family interaction: eps_growth_yoy x quality,NO (orthogonal to EODHD earnings/fundamentals/price),36963
f_x_value,eodhd_eps_growth_yoy,eps_growth_yoy,cross-family interaction: eps_growth_yoy x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36977
f_x_mom,eodhd_eps_growth_yoy,eps_growth_yoy,cross-family interaction: eps_growth_yoy x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20330
f_level,eodhd_revenue_growth_yoy,rev_growth_yoy,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38597
f_chg1,eodhd_revenue_growth_yoy,rev_growth_yoy,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_accel,eodhd_revenue_growth_yoy,rev_growth_yoy,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38545
f_lag1,eodhd_revenue_growth_yoy,rev_growth_yoy,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rmean_5,eodhd_revenue_growth_yoy,rev_growth_yoy,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rstd_5,eodhd_revenue_growth_yoy,rev_growth_yoy,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rchg_5,eodhd_revenue_growth_yoy,rev_growth_yoy,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rmean_21,eodhd_revenue_growth_yoy,rev_growth_yoy,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rstd_21,eodhd_revenue_growth_yoy,rev_growth_yoy,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rchg_21,eodhd_revenue_growth_yoy,rev_growth_yoy,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rmean_63,eodhd_revenue_growth_yoy,rev_growth_yoy,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rstd_63,eodhd_revenue_growth_yoy,rev_growth_yoy,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_rchg_63,eodhd_revenue_growth_yoy,rev_growth_yoy,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38569
f_z,eodhd_revenue_growth_yoy,rev_growth_yoy,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38597
f_sector_z,eodhd_revenue_growth_yoy,rev_growth_yoy,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38311
f_rank,eodhd_revenue_growth_yoy,rev_growth_yoy,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38597
f_winz,eodhd_revenue_growth_yoy,rev_growth_yoy,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38597
f_x_surprise,eodhd_revenue_growth_yoy,rev_growth_yoy,cross-family interaction: rev_growth_yoy x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36763
f_x_quality,eodhd_revenue_growth_yoy,rev_growth_yoy,cross-family interaction: rev_growth_yoy x quality,NO (orthogonal to EODHD earnings/fundamentals/price),37166
f_x_value,eodhd_revenue_growth_yoy,rev_growth_yoy,cross-family interaction: rev_growth_yoy x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36984
f_x_mom,eodhd_revenue_growth_yoy,rev_growth_yoy,cross-family interaction: rev_growth_yoy x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20436
f_level,eodhd_gross_profitability,gross_profitability,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38512
f_chg1,eodhd_gross_profitability,gross_profitability,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_accel,eodhd_gross_profitability,gross_profitability,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38466
f_lag1,eodhd_gross_profitability,gross_profitability,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rmean_5,eodhd_gross_profitability,gross_profitability,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rstd_5,eodhd_gross_profitability,gross_profitability,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rchg_5,eodhd_gross_profitability,gross_profitability,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rmean_21,eodhd_gross_profitability,gross_profitability,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rstd_21,eodhd_gross_profitability,gross_profitability,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rchg_21,eodhd_gross_profitability,gross_profitability,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rmean_63,eodhd_gross_profitability,gross_profitability,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rstd_63,eodhd_gross_profitability,gross_profitability,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_rchg_63,eodhd_gross_profitability,gross_profitability,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38499
f_z,eodhd_gross_profitability,gross_profitability,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38512
f_sector_z,eodhd_gross_profitability,gross_profitability,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38226
f_rank,eodhd_gross_profitability,gross_profitability,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38512
f_winz,eodhd_gross_profitability,gross_profitability,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38512
f_x_surprise,eodhd_gross_profitability,gross_profitability,cross-family interaction: gross_profitability x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36705
f_x_quality,eodhd_gross_profitability,gross_profitability,cross-family interaction: gross_profitability x quality,NO (orthogonal to EODHD earnings/fundamentals/price),37178
f_x_value,eodhd_gross_profitability,gross_profitability,cross-family interaction: gross_profitability x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36895
f_x_mom,eodhd_gross_profitability,gross_profitability,cross-family interaction: gross_profitability x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20443
f_level,eodhd_operating_accruals,operating_accruals,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38610
f_chg1,eodhd_operating_accruals,operating_accruals,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_accel,eodhd_operating_accruals,operating_accruals,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38568
f_lag1,eodhd_operating_accruals,operating_accruals,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rmean_5,eodhd_operating_accruals,operating_accruals,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rstd_5,eodhd_operating_accruals,operating_accruals,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rchg_5,eodhd_operating_accruals,operating_accruals,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rmean_21,eodhd_operating_accruals,operating_accruals,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rstd_21,eodhd_operating_accruals,operating_accruals,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rchg_21,eodhd_operating_accruals,operating_accruals,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rmean_63,eodhd_operating_accruals,operating_accruals,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rstd_63,eodhd_operating_accruals,operating_accruals,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_rchg_63,eodhd_operating_accruals,operating_accruals,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38596
f_z,eodhd_operating_accruals,operating_accruals,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38610
f_sector_z,eodhd_operating_accruals,operating_accruals,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38324
f_rank,eodhd_operating_accruals,operating_accruals,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38610
f_winz,eodhd_operating_accruals,operating_accruals,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38610
f_x_surprise,eodhd_operating_accruals,operating_accruals,cross-family interaction: operating_accruals x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36768
f_x_quality,eodhd_operating_accruals,operating_accruals,cross-family interaction: operating_accruals x quality,NO (orthogonal to EODHD earnings/fundamentals/price),37178
f_x_value,eodhd_operating_accruals,operating_accruals,cross-family interaction: operating_accruals x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36989
f_x_mom,eodhd_operating_accruals,operating_accruals,cross-family interaction: operating_accruals x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20441
f_level,eodhd_asset_growth,asset_growth,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38533
f_chg1,eodhd_asset_growth,asset_growth,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_accel,eodhd_asset_growth,asset_growth,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38431
f_lag1,eodhd_asset_growth,asset_growth,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rmean_5,eodhd_asset_growth,asset_growth,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rstd_5,eodhd_asset_growth,asset_growth,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rchg_5,eodhd_asset_growth,asset_growth,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rmean_21,eodhd_asset_growth,asset_growth,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rstd_21,eodhd_asset_growth,asset_growth,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rchg_21,eodhd_asset_growth,asset_growth,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rmean_63,eodhd_asset_growth,asset_growth,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rstd_63,eodhd_asset_growth,asset_growth,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_rchg_63,eodhd_asset_growth,asset_growth,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38464
f_z,eodhd_asset_growth,asset_growth,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38533
f_sector_z,eodhd_asset_growth,asset_growth,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38247
f_rank,eodhd_asset_growth,asset_growth,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38533
f_winz,eodhd_asset_growth,asset_growth,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38533
f_x_surprise,eodhd_asset_growth,asset_growth,cross-family interaction: asset_growth x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36715
f_x_quality,eodhd_asset_growth,asset_growth,cross-family interaction: asset_growth x quality,NO (orthogonal to EODHD earnings/fundamentals/price),37122
f_x_value,eodhd_asset_growth,asset_growth,cross-family interaction: asset_growth x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36952
f_x_mom,eodhd_asset_growth,asset_growth,cross-family interaction: asset_growth x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20421
f_level,eodhd_net_share_issuance,net_share_issuance,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38465
f_chg1,eodhd_net_share_issuance,net_share_issuance,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_accel,eodhd_net_share_issuance,net_share_issuance,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38392
f_lag1,eodhd_net_share_issuance,net_share_issuance,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rmean_5,eodhd_net_share_issuance,net_share_issuance,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rstd_5,eodhd_net_share_issuance,net_share_issuance,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rchg_5,eodhd_net_share_issuance,net_share_issuance,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rmean_21,eodhd_net_share_issuance,net_share_issuance,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rstd_21,eodhd_net_share_issuance,net_share_issuance,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rchg_21,eodhd_net_share_issuance,net_share_issuance,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rmean_63,eodhd_net_share_issuance,net_share_issuance,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rstd_63,eodhd_net_share_issuance,net_share_issuance,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_rchg_63,eodhd_net_share_issuance,net_share_issuance,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38424
f_z,eodhd_net_share_issuance,net_share_issuance,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38465
f_sector_z,eodhd_net_share_issuance,net_share_issuance,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38179
f_rank,eodhd_net_share_issuance,net_share_issuance,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38465
f_winz,eodhd_net_share_issuance,net_share_issuance,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38465
f_x_surprise,eodhd_net_share_issuance,net_share_issuance,cross-family interaction: net_share_issuance x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36676
f_x_quality,eodhd_net_share_issuance,net_share_issuance,cross-family interaction: net_share_issuance x quality,NO (orthogonal to EODHD earnings/fundamentals/price),37171
f_x_value,eodhd_net_share_issuance,net_share_issuance,cross-family interaction: net_share_issuance x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36856
f_x_mom,eodhd_net_share_issuance,net_share_issuance,cross-family interaction: net_share_issuance x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20405
f_level,eodhd_leverage_change,leverage_change,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38404
f_chg1,eodhd_leverage_change,leverage_change,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_accel,eodhd_leverage_change,leverage_change,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38301
f_lag1,eodhd_leverage_change,leverage_change,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rmean_5,eodhd_leverage_change,leverage_change,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rstd_5,eodhd_leverage_change,leverage_change,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rchg_5,eodhd_leverage_change,leverage_change,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rmean_21,eodhd_leverage_change,leverage_change,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rstd_21,eodhd_leverage_change,leverage_change,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rchg_21,eodhd_leverage_change,leverage_change,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rmean_63,eodhd_leverage_change,leverage_change,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rstd_63,eodhd_leverage_change,leverage_change,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_rchg_63,eodhd_leverage_change,leverage_change,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38332
f_z,eodhd_leverage_change,leverage_change,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38404
f_sector_z,eodhd_leverage_change,leverage_change,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38118
f_rank,eodhd_leverage_change,leverage_change,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38404
f_winz,eodhd_leverage_change,leverage_change,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38404
f_x_surprise,eodhd_leverage_change,leverage_change,cross-family interaction: leverage_change x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36639
f_x_quality,eodhd_leverage_change,leverage_change,cross-family interaction: leverage_change x quality,NO (orthogonal to EODHD earnings/fundamentals/price),37121
f_x_value,eodhd_leverage_change,leverage_change,cross-family interaction: leverage_change x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36834
f_x_mom,eodhd_leverage_change,leverage_change,cross-family interaction: leverage_change x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20395
f_level,eodhd_fcf_to_assets,fcf_to_assets,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),38408
f_chg1,eodhd_fcf_to_assets,fcf_to_assets,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_accel,eodhd_fcf_to_assets,fcf_to_assets,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),38351
f_lag1,eodhd_fcf_to_assets,fcf_to_assets,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rmean_5,eodhd_fcf_to_assets,fcf_to_assets,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rstd_5,eodhd_fcf_to_assets,fcf_to_assets,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rchg_5,eodhd_fcf_to_assets,fcf_to_assets,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rmean_21,eodhd_fcf_to_assets,fcf_to_assets,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rstd_21,eodhd_fcf_to_assets,fcf_to_assets,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rchg_21,eodhd_fcf_to_assets,fcf_to_assets,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rmean_63,eodhd_fcf_to_assets,fcf_to_assets,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rstd_63,eodhd_fcf_to_assets,fcf_to_assets,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_rchg_63,eodhd_fcf_to_assets,fcf_to_assets,63-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),38382
f_z,eodhd_fcf_to_assets,fcf_to_assets,within-month cross-sectional z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38408
f_sector_z,eodhd_fcf_to_assets,fcf_to_assets,sector-neutral within-month z-score,NO (orthogonal to EODHD earnings/fundamentals/price),38122
f_rank,eodhd_fcf_to_assets,fcf_to_assets,within-month rank percentile,NO (orthogonal to EODHD earnings/fundamentals/price),38408
f_winz,eodhd_fcf_to_assets,fcf_to_assets,winsorized (1/99 pct) within-month level,NO (orthogonal to EODHD earnings/fundamentals/price),38408
f_x_surprise,eodhd_fcf_to_assets,fcf_to_assets,cross-family interaction: fcf_to_assets x earnings surprise,NO (orthogonal to EODHD earnings/fundamentals/price),36637
f_x_quality,eodhd_fcf_to_assets,fcf_to_assets,cross-family interaction: fcf_to_assets x quality,NO (orthogonal to EODHD earnings/fundamentals/price),37178
f_x_value,eodhd_fcf_to_assets,fcf_to_assets,cross-family interaction: fcf_to_assets x value (earnings yield),NO (orthogonal to EODHD earnings/fundamentals/price),36796
f_x_mom,eodhd_fcf_to_assets,fcf_to_assets,cross-family interaction: fcf_to_assets x 63d price momentum,NO (orthogonal to EODHD earnings/fundamentals/price),20398
f_level,eodhd_dividend_growth,dividend_growth,raw point-in-time level,NO (orthogonal to EODHD earnings/fundamentals/price),32647
f_chg1,eodhd_dividend_growth,dividend_growth,1-step change,NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_accel,eodhd_dividend_growth,dividend_growth,acceleration (change of change),NO (orthogonal to EODHD earnings/fundamentals/price),32186
f_lag1,eodhd_dividend_growth,dividend_growth,1-step lagged level,NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rmean_5,eodhd_dividend_growth,dividend_growth,5-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rstd_5,eodhd_dividend_growth,dividend_growth,5-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rchg_5,eodhd_dividend_growth,dividend_growth,5-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rmean_21,eodhd_dividend_growth,dividend_growth,21-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rstd_21,eodhd_dividend_growth,dividend_growth,21-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rchg_21,eodhd_dividend_growth,dividend_growth,21-obs rolling change (level minus mean),NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rmean_63,eodhd_dividend_growth,dividend_growth,63-obs rolling mean,NO (orthogonal to EODHD earnings/fundamentals/price),32498
f_rstd_63,eodhd_dividend_growth,dividend_growth,63-obs rolling volatility (stability),NO (orthogonal to EODHD earnings/fundamentals/price),32498
