rank,ticker,sector,composite_sn,in_champion_top25,in_champion_top50,sp500_member_pit,sp500_membership_status,in_shadow_top25,in_shadow_top50
57,DASH,Unknown,0.655536,False,False,True,CONFIRMED_SP500,False,True
58,RSG,Unknown,0.648045,False,False,True,CONFIRMED_SP500,False,True
59,ON,Unknown,0.620072,False,False,True,CONFIRMED_SP500,False,True
60,AMD,Information Technology,0.574541,False,False,True,CONFIRMED_SP500,False,True
61,NDSN,Unknown,0.572547,False,False,True,CONFIRMED_SP500,False,False
62,MUFG,Unknown,0.465486,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
63,CAT,Industrials,0.438644,False,False,True,CONFIRMED_SP500,False,False
64,PODD,Unknown,0.417783,False,False,True,CONFIRMED_SP500,False,False
65,MO,Consumer Staples,0.416413,False,False,True,CONFIRMED_SP500,False,False
66,ALAB,Unknown,0.39412,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
67,AOS,Unknown,0.378324,False,False,True,CONFIRMED_SP500,False,False
68,EOG,Energy,0.375512,False,False,True,CONFIRMED_SP500,False,False
69,BR,Unknown,0.373197,False,False,True,CONFIRMED_SP500,False,False
70,CVX,Energy,0.333875,False,False,True,CONFIRMED_SP500,False,False
71,EL,Unknown,0.314627,False,False,True,CONFIRMED_SP500,False,False
72,BDX,Unknown,0.25626,False,False,True,CONFIRMED_SP500,False,False
73,DECK,Unknown,0.255378,False,False,True,CONFIRMED_SP500,False,False
74,EQNR,Unknown,0.230647,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
75,AIZ,Unknown,0.19978,False,False,True,CONFIRMED_SP500,False,False
76,AKAM,Unknown,0.185309,False,False,True,CONFIRMED_SP500,False,False
77,STE,Unknown,0.179443,False,False,True,CONFIRMED_SP500,False,False
78,AME,Unknown,0.171279,False,False,True,CONFIRMED_SP500,False,False
79,IQV,Unknown,0.16454,False,False,True,CONFIRMED_SP500,False,False
80,CNQ,Unknown,0.158348,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
81,COIN,Unknown,0.137545,False,False,True,CONFIRMED_SP500,False,False
82,HSY,Unknown,0.126279,False,False,True,CONFIRMED_SP500,False,False
83,FTV,Unknown,0.098483,False,False,True,CONFIRMED_SP500,False,False
84,MCD,Consumer Discretionary,0.097725,False,False,True,CONFIRMED_SP500,False,False
85,ITUB,Unknown,0.077143,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
86,WBD,Unknown,0.052211,False,False,True,CONFIRMED_SP500,False,False
87,SPG,Unknown,0.04166,False,False,True,CONFIRMED_SP500,False,False
88,TT,Unknown,0.038858,False,False,True,CONFIRMED_SP500,False,False
89,MSI,Unknown,0.030398,False,False,True,CONFIRMED_SP500,False,False
90,PYPL,Financials,0.027579,False,False,True,CONFIRMED_SP500,False,False
91,MAR,Consumer Discretionary,0.024735,False,False,True,CONFIRMED_SP500,False,False
92,SO,Utilities,0.022051,False,False,True,CONFIRMED_SP500,False,False
93,DIS,Communication Services,0.0,False,False,True,CONFIRMED_SP500,False,False
94,MTD,Unknown,-0.003055,False,False,True,CONFIRMED_SP500,False,False
95,PH,Industrials,-0.009121,False,False,True,CONFIRMED_SP500,False,False
96,DUK,Utilities,-0.022051,False,False,True,CONFIRMED_SP500,False,False
97,FLEX,Unknown,-0.053907,False,False,False,NOT_CONFIRMED_SP500,False,False
98,VLO,Unknown,-0.076478,False,False,True,CONFIRMED_SP500,False,False
99,ROK,Unknown,-0.09659,False,False,True,CONFIRMED_SP500,False,False
100,RVTY,Unknown,-0.105144,False,False,True,CONFIRMED_SP500,False,False
101,PBR,Unknown,-0.111926,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
102,COP,Energy,-0.11885,False,False,True,CONFIRMED_SP500,False,False
103,LITE,Unknown,-0.120508,False,False,True,CONFIRMED_SP500,False,False
104,HD,Consumer Discretionary,-0.12246,False,False,True,CONFIRMED_SP500,False,False
105,DVA,Unknown,-0.131946,False,False,True,CONFIRMED_SP500,False,False
106,AMGN,Health Care,-0.138766,False,False,True,CONFIRMED_SP500,False,False
107,O,Unknown,-0.150374,False,False,True,CONFIRMED_SP500,False,False
108,AJG,Unknown,-0.156785,False,False,True,CONFIRMED_SP500,False,False
109,ICE,Financials,-0.158636,False,False,True,CONFIRMED_SP500,False,False
110,CVS,Health Care,-0.178729,False,False,True,CONFIRMED_SP500,False,False
111,ALB,Unknown,-0.197462,False,False,True,CONFIRMED_SP500,False,False
112,SU,Unknown,-0.201593,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
113,TRP,Unknown,-0.216215,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
114,CDW,Unknown,-0.21646,False,False,True,CONFIRMED_SP500,False,False
115,JCI,Unknown,-0.226399,False,False,True,CONFIRMED_SP500,False,False
116,ES,Unknown,-0.233549,False,False,True,CONFIRMED_SP500,False,False
117,WMB,Unknown,-0.240069,False,False,True,CONFIRMED_SP500,False,False
118,BLDR,Unknown,-0.244082,False,False,True,CONFIRMED_SP500,False,False
119,KIM,Unknown,-0.246183,False,False,True,CONFIRMED_SP500,False,False
120,BAX,Unknown,-0.252818,False,False,True,CONFIRMED_SP500,False,False
121,HWM,Unknown,-0.253705,False,False,True,CONFIRMED_SP500,False,False
122,FRT,Unknown,-0.25496,False,False,True,CONFIRMED_SP500,False,False
123,MDLN,Unknown,-0.267622,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
124,LDOS,Unknown,-0.287437,False,False,True,CONFIRMED_SP500,False,False
125,BABA,Unknown,-0.313478,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
126,AEE,Unknown,-0.320828,False,False,True,CONFIRMED_SP500,False,False
127,DOC,Unknown,-0.324978,False,False,True,CONFIRMED_SP500,False,False
128,KVUE,Unknown,-0.350237,False,False,True,CONFIRMED_SP500,False,False
129,PWR,Unknown,-0.351509,False,False,True,CONFIRMED_SP500,False,False
130,RL,Unknown,-0.35569,False,False,True,CONFIRMED_SP500,False,False
131,EMR,Industrials,-0.36262,False,False,True,CONFIRMED_SP500,False,False
132,SATS,Unknown,-0.374038,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
133,GPN,Unknown,-0.380196,False,False,True,CONFIRMED_SP500,False,False
134,MRK,Health Care,-0.397933,False,False,True,CONFIRMED_SP500,False,False
135,KHC,Unknown,-0.398737,False,False,True,CONFIRMED_SP500,False,False
136,APO,Unknown,-0.407906,False,False,True,CONFIRMED_SP500,False,False
137,CL,Consumer Staples,-0.416413,False,False,True,CONFIRMED_SP500,False,False
138,CHD,Unknown,-0.445678,False,False,True,CONFIRMED_SP500,False,False
139,ARM,Unknown,-0.457613,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
140,COR,Unknown,-0.461752,False,False,True,CONFIRMED_SP500,False,False
141,MPC,Unknown,-0.466565,False,False,True,CONFIRMED_SP500,False,False
142,PFE,Health Care,-0.474715,False,False,True,CONFIRMED_SP500,False,False
143,DD,Unknown,-0.477112,False,False,True,CONFIRMED_SP500,False,False
144,CF,Unknown,-0.482339,False,False,True,CONFIRMED_SP500,False,False
145,AEM,Unknown,-0.48299,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
146,NWG,Unknown,-0.486561,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
147,MRNA,Unknown,-0.500296,False,False,True,CONFIRMED_SP500,False,False
148,KKR,Unknown,-0.512173,False,False,True,CONFIRMED_SP500,False,False
149,IFF,Unknown,-0.548332,False,False,True,CONFIRMED_SP500,False,False
150,DTE,Unknown,-0.549551,False,False,True,CONFIRMED_SP500,False,False
151,APA,Unknown,-0.555923,False,False,True,CONFIRMED_SP500,False,False
152,NCLH,Unknown,-0.570609,False,False,True,CONFIRMED_SP500,False,False
153,XOM,Energy,-0.590537,False,False,True,CONFIRMED_SP500,False,False
154,CRL,Unknown,-0.594186,False,False,True,CONFIRMED_SP500,False,False
155,MFC,Unknown,-0.598998,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
156,MET,Unknown,-0.603455,False,False,True,CONFIRMED_SP500,False,False
157,LLY,Health Care,-0.60683,False,False,True,CONFIRMED_SP500,False,False
158,AMAT,Information Technology,-0.619228,False,False,True,CONFIRMED_SP500,False,False
159,HSBC,Unknown,-0.633766,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
160,TRGP,Unknown,-0.638265,False,False,True,CONFIRMED_SP500,False,False
161,LNT,Unknown,-0.644021,False,False,True,CONFIRMED_SP500,False,False
162,AES,Unknown,-0.651539,False,False,True,CONFIRMED_SP500,False,False
163,ENB,Unknown,-0.656624,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
164,AON,Financials,-0.672161,False,False,True,CONFIRMED_SP500,False,False
165,SHEL,Unknown,-0.684549,False,False,False,NOT_CONFIRMED_SP500,False,False
166,MFG,Unknown,-0.699399,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
167,PTC,Unknown,-0.709435,False,False,True,CONFIRMED_SP500,False,False
168,PSKY,Unknown,-0.710339,False,False,True,CONFIRMED_SP500,False,False
169,EXC,Unknown,-0.721213,False,False,True,CONFIRMED_SP500,False,False
170,FISV,Unknown,-0.721438,False,False,True,CONFIRMED_SP500,False,False
171,BAM,Unknown,-0.725094,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
172,PRU,Unknown,-0.732064,False,False,True,CONFIRMED_SP500,False,False
173,ET,Unknown,-0.733827,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
174,IMO,Unknown,-0.740292,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
175,IRM,Unknown,-0.741594,False,False,True,CONFIRMED_SP500,False,False
176,CI,Health Care,-0.743793,False,False,True,CONFIRMED_SP500,False,False
177,SRE,Unknown,-0.770459,False,False,True,CONFIRMED_SP500,False,False
178,PEG,Unknown,-0.773356,False,False,True,CONFIRMED_SP500,False,False
179,IFNNY,Unknown,-0.783288,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
180,Q,Unknown,-0.805652,False,False,True,CONFIRMED_SP500,False,False
181,LIN,Materials,-0.841216,False,False,True,CONFIRMED_SP500,False,False
182,SWKS,Unknown,-0.858606,False,False,True,CONFIRMED_SP500,False,False
183,MPWR,Unknown,-0.878972,False,False,True,CONFIRMED_SP500,False,False
184,AIG,Unknown,-0.899844,False,False,True,CONFIRMED_SP500,False,False
185,AMCR,Unknown,-0.902833,False,False,True,CONFIRMED_SP500,False,False
186,ADM,Unknown,-0.916752,False,False,True,CONFIRMED_SP500,False,False
187,ATO,Unknown,-0.925036,False,False,True,CONFIRMED_SP500,False,False
188,AEP,Unknown,-0.961209,False,False,True,CONFIRMED_SP500,False,False
189,CARR,Unknown,-0.962726,False,False,True,CONFIRMED_SP500,False,False
190,PNW,Unknown,-0.97152,False,False,True,CONFIRMED_SP500,False,False
191,SW,Unknown,-0.978215,False,False,True,CONFIRMED_SP500,False,False
192,CSCO,Information Technology,-1.022499,False,False,True,CONFIRMED_SP500,False,False
193,EVRG,Unknown,-1.025456,False,False,True,CONFIRMED_SP500,False,False
194,HUBB,Unknown,-1.02724,False,False,True,CONFIRMED_SP500,False,False
195,CMI,Unknown,-1.04469,False,False,True,CONFIRMED_SP500,False,False
196,L,Unknown,-1.056441,False,False,True,CONFIRMED_SP500,False,False
197,ING,Unknown,-1.061752,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
198,PPL,Unknown,-1.063944,False,False,True,CONFIRMED_SP500,False,False
199,ETN,Industrials,-1.088942,False,False,True,CONFIRMED_SP500,False,False
200,TM,Unknown,-1.096885,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
201,BN,Unknown,-1.135315,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
202,BMY,Health Care,-1.179338,False,False,True,CONFIRMED_SP500,False,False
203,NI,Unknown,-1.181101,False,False,True,CONFIRMED_SP500,False,False
204,D,Unknown,-1.301705,False,False,True,CONFIRMED_SP500,False,False
205,TAP,Unknown,-1.369128,False,False,True,CONFIRMED_SP500,False,False
206,CPRT,Unknown,-1.381618,False,False,True,CONFIRMED_SP500,False,False
207,NRG,Unknown,-1.455473,False,False,True,CONFIRMED_SP500,False,False
208,LHX,Unknown,-1.479376,False,False,True,CONFIRMED_SP500,False,False
209,CPAY,Unknown,-1.479434,False,False,True,CONFIRMED_SP500,False,False
210,CEG,Unknown,-1.520899,False,False,True,CONFIRMED_SP500,False,False
211,TDG,Industrials,-1.526658,False,False,True,CONFIRMED_SP500,False,False
212,ED,Unknown,-1.593376,False,False,True,CONFIRMED_SP500,False,False
213,CBOE,Unknown,-1.605783,False,False,True,CONFIRMED_SP500,False,False
214,FIS,Unknown,-1.62788,False,False,True,CONFIRMED_SP500,False,False
215,MOS,Unknown,-1.657088,False,False,True,CONFIRMED_SP500,False,False
216,NVO,Unknown,-1.68261,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
217,LYB,Unknown,-1.730856,False,False,True,CONFIRMED_SP500,False,False
218,APTV,Unknown,-1.739718,False,False,True,CONFIRMED_SP500,False,False
219,CRH,Unknown,-1.746973,False,False,True,CONFIRMED_SP500,False,False
220,RKLB,Unknown,-1.755347,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
221,HSIC,Unknown,-1.840816,False,False,True,CONFIRMED_SP500,False,False
222,OXY,Unknown,-1.84605,False,False,True,CONFIRMED_SP500,False,False
223,SOLV,Unknown,-1.944392,False,False,True,CONFIRMED_SP500,False,False
224,AXON,Unknown,-2.077499,False,False,True,CONFIRMED_SP500,False,False
225,COHR,Unknown,-2.114562,False,False,True,CONFIRMED_SP500,False,False
226,NU,Unknown,-2.313353,False,False,False,NOT_SP500_NOT_IN_SUPERSET,False,False
227,MLM,Unknown,-3.00701,False,False,True,CONFIRMED_SP500,False,False
228,FSLR,Unknown,-3.133205,False,False,True,CONFIRMED_SP500,False,False
229,CLX,Unknown,-3.371083,False,False,True,CONFIRMED_SP500,False,False
230,J,Unknown,-3.501656,False,False,True,CONFIRMED_SP500,False,False
231,HII,Unknown,-3.559652,False,False,True,CONFIRMED_SP500,False,False
232,WDC,Unknown,-3.704036,False,False,True,CONFIRMED_SP500,False,False
233,BALL,Unknown,-4.140619,False,False,True,CONFIRMED_SP500,False,False
234,CTVA,Unknown,-6.125849,False,False,True,CONFIRMED_SP500,False,False
